Hash;Original;Tradução
"39b72d0";"Great.";"Ótimo."
"49cfdb7";"Good good.";"Ótimo."
"59c2fc1";"Good hunting.";"Boa caçada."
"69b0951";"Don't let them get away.";"Não os deixe escapar."
"79a93f5";"You reward will be here waiting when you're done.";"Sua recompensa estará aqui esperando quando você terminar."
"89b6dc5";"Good luck.";"Boa sorte."
"ecf8beb";"Ready to hunt down some more unlawful and unwanted pests?";"Pronto para caçar mais pragas ilegais e indesejadas?"
"fc9fa26";"There's another job for you, deputy.";"Aqui está outro trabalho para você, delegado."
"10c93374";"A bounty hunter's work is never finished, my friend. Ready for the next job?";"O trabalho de um caçador de recompensas nunca termina, meu amigo. Pronto para o próximo trabalho?"
"11c9ec2f";"There's trouble in Albion once more. And only you can deal with it.";"Há problemas em Albion mais uma vez. E só você pode lidar com eles."
"12cbcaf3";"There's been another outbreak of chaos in need of a clean-up.";"Houve outro surto de caos que precisa ser resolvido."
"13c8fc34";"I have a new mission for you.";"Tenho uma nova missão para você."
"1ec47a11";"Aid Albion's premiere archaeologist in locating ancient artifacts.
Each find you make will contribute to your fame and earn you renown.";"Ajude o principal arqueólogo de Albion a localizar artefatos antigos.
Cada descoberta contribuirá para sua fama e lhe renderá renome."
"1fa5d11c";"Will you kill the %1 in %2? Risk level: %3 Star";"Você vai matar o %1 em %2? Nível de risco : %3 Estrela"
"2232878b";"The Archaeologist";"O Arqueólogo"
"25909880";"Our dictum is "swift bringers of death to beggar or king".";"Nosso lema é "rápidos portadores da morte para mendigos ou reis"."
"267aa9a0";"Help rid Albion of dangerous creatures and criminals.";"Ajude a livrar Albion de criaturas perigosas e criminosos."
"268ffd86";"Let us see what you can do.";"Vamos ver o que você sabe fazer."
"2790bad2";"Hmm, no. You are here looking for employment.";"Hum, não. Você está aqui procurando emprego."
"288f7504";"The Society always welcomes suitable contractors.";"A Sociedade sempre recebe de braços abertos empreiteiros qualificados."
"293c09b3";"The Assassination Society";"A Sociedade dos Assassinos"
"2a9201da";"Greetings. Are you here to solicit my services?";"Saudações. Veio solicitar meus serviços?"
"3258a411";"It's the assassin! Somebody do something!";"É o assassino! Alguém faça alguma coisa!"
"3258a412";"<screams> It's assassin!";"<screams> É o assassino!"
"3258a413";"No! No! The assassin has come to get me!";"Não! Não! O assassino veio me pegar!"
"3258a414";"Help! The assassin's here!";"Socorro! O assassino está aqui!"
"3258a415";"The assassin is here! No! I don't want to die!";"O assassino está aqui! Não! Eu não quero morrer!"
"3258a417";"Help! The killer is here! I'm a dead woman! No!";"Socorro! O assassino está aqui! Estou morta! Não!"
"325b0b32";"No, the assassin! Don't kill me!";"Não, o assassino! Não me mate!"
"34c3f2d8";"Assassinate the Society's chosen target.";"Assassine o alvo escolhido pela Sociedade."
"35f4290e";"Someone must witness your work.";"Alguém precisa testemunhar seu trabalho."
"3958af19";"I'm a dead man! Noo! Help!";"Estou morto! Não! Socorro!"
"3958af1a";"The assassin has come for me! Help!";"O assassino veio me buscar! Socorro!"
"3958af1c";"Oh no! It's the assassin! Help!";"Oh, não! É o assassino! Socorro!"
"3958af1d";"Oh dear, it is the assassin I was warned about! Help me, please!";"Oh, céus, é o assassino sobre o qual fui avisado! Socorro, por favor!"
"3958af1e";"Oh no! My executioner has arrived! Help!";"Oh, não! Meu carrasco chegou! Socorro!"
"3958af1f";"The assassin is here! Help! Help!";"O assassino está aqui! Socorro! Socorro!"
"395967ac";"It's the assassin! Somebody do something!";"É o assassino! Alguém faça alguma coisa!"
"397d1e18";"I hope you are not waiting for your prey to die of natural causes. It's against Society policy.";"Espero que você não esteja esperando que sua presa morra de causas naturais. Isso é contra as normas da sociedade."
"3a7cd688";"Carry murder in your heart and see your assignment to the end.";"Carregue o assassinato em seu coração e leve sua missão até o fim."
"3c7c1d6c";"Go now, and whisper words of death to those who are marked.";"Vá agora e sussurre palavras de morte àqueles que estão marcados."
"3edf4c19";"He thinks he's so funny.";"Ele se acha muito engraçado."
"3edf4c1a";"He has a serious body odour problem, and yet refuses to shower.";"Ele tem um sério problema de odor corporal e, mesmo assim, se recusa a tomar banho."
"3edf4c1b";"He likes to show everyone this giant corn he has on his big toe.";"Ele gosta de mostrar a todos o calo gigante que tem no dedão do pé."
"3edf4c1e";"He makes promises he doesn't keep.";"Ele faz promessas que não cumpre."
"3edf4c1f";"He offered to water the client's plants, but then forgot.";"Ele se ofereceu para regar as plantas do cliente, mas depois se esqueceu."
"3ee2c068";"He is on the verge of inventing a new form of government that will make criminal behaviour impossible.";"Ele está prestes a inventar uma nova forma de governo que tornará o comportamento criminoso impossível."
"3fdf4d85";"He pretends he's a good friend, but calls people names behind their backs.";"Ele finge ser um bom amigo, mas xinga as pessoas pelas costas."
"3fdf4d88";"He is suspected of being a balverine.";"Ele é suspeito de ser um balverine."
"3fdf4d89";"He adjusts himself in polite company.";"Ele se comporta de maneira inadequada em ambientes formais."
"3fdf4d8a";"He drinks cartons of juice and sucks air through the straw, making a horrible sound.";"Ele bebe caixas de suco e suga ar pelo canudo, fazendo um barulho horrível."
"3fdf4d8b";"He made a pass at someone's wife.";"Ele deu em cima da esposa de alguém."
"3fdf4d8c";"He leaves his socks all over the floor instead of putting them in the laundry basket.";"Ele deixa as meias espalhadas pelo chão em vez de colocá-las no cesto de roupa suja."
"3fdf4d8f";"He has some serious gambling debts which he has been unable, or unwilling, to repay.";"Ele tem dívidas de jogo sérias que não conseguiu, ou não quis, pagar."
"3fe2717e";"He likes to dress up as a Guildmaster and say "Hero, your health is low. Do you have any potions?" to the annoyance of many.";"Ele gosta de se vestir de Mestre de Guilda e dizer "Herói, sua saúde está baixa. Você tem alguma poção?" para o desgosto de muitos."
"40b6e300";"Do not allow any witnesses.";"Não permita testemunhas."
"4c2f9feb";"You must bear the following in mind. Firstly...";"Você deve ter o seguinte em mente. Primeiro..."
"4f2d95b0";"And...";"E..."
"57a00976";"There is something you should know.";"Há algo que você precisa saber."
"5a18c1d1";"Read the assassination contract.";"Leia o contrato de assassinato."
"5b17b141";"Meet with the Society's representative.";"Encontre-se com a representante da Sociedade."
"786ad283";"You have earned your pay, murderous one.";"Você mereceu seu pagamento, assassino."
"796ad476";"Word of your deed has reached us. And we are pleased.";"Chegamos a saber do seu feito. E estamos satisfeitos."
"7b690557";"Good murdering! Have some cash.";"Bom assassinato! Aqui está um dinheiro."
"7df872e5";"Name: %1
Profession: %2
Known whereabouts: %3
Rating: %4 star";"Nome: %1
Profissão: %2
Paradeiro conhecido: %3
Classificação: %4 estrelas"
"7e6ac1d7";"You have done well. The Society is happy to have you among its members.";"Você se saiu bem. A Sociedade está feliz em tê-lo(a) entre seus membros."
"7f6a8984";"You have no conscience. No morals. No heart. You are a perfect instrument.";"Você não tem consciência. Nem moral. Nem coração. Você é um instrumento perfeito."
"9c0bc0a9";"The Society has existed forever. Perhaps a little less.";"A Sociedade existe desde sempre. Talvez um pouco menos."
"9d0a834b";"There is no greater thrill than carrying out a contract.";"Não há emoção maior do que cumprir um contrato."
"9d811040";"The deed must be done in darkness, when night has fallen.";"O feito deve ser realizado na escuridão, quando a noite cair."
"9e0a6e8d";"You weren't followed here were you?";"Você não foi seguido até aqui, foi?"
"9f0a8691";"Do you not wish to serve the Society?";"Você não deseja servir à Sociedade?"
"a90bed47";"Locate and assassinate your target.";"Localize e assassine seu alvo."
"ac72ce88";"Your target has died by other means. The job is over.";"Seu alvo morreu por outros meios. Missão cumprida."
"aca712d8";"You have commited a crime near a guard. The job is over.";"Você cometeu um crime perto de um guarda. O trabalho acabou."
"b584d6fb";"Where's my bodyguard?!";"Cadê meu guarda-costas?!"
"b5852fb7";"Bodyguard!";"Guarda-costas!"
"b71a1c81";"Speak of the Society to no one.";"Não fale da Sociedade para ninguém."
"b8384360";"Belle's Research Note";"Anotação de Pesquisa da Bela"
"bf43de6b";"Return to the Society's representative to collect your reward.";"Retorne ao representante da Sociedade para receber sua recompensa."
