Hash;Original;Tradução
"12e863b1";"I suddenly feel like the handsomest guy in the world.";"De repente, me sinto o cara mais bonito do mundo."
"12e863b2";"I've seen transvestite Hobbes better lookin' than you.";"Já vi Hobbes travesti mais bonito que você."
"12e863b3";"Please! Someone stand in front of me that I may be spared this grotesquerie.";"Por favor! Alguém fique na minha frente para que eu seja poupado dessa grotesquice."
"12e863b4";"My eyes! My sensitive eyes! Soiled forever!";"Meus olhos! Meus olhos sensíveis! Maculados para sempre!"
"12e863b6";"Cover yourself up when you do that. With a circus tent.";"Cubra-se quando fizer isso. Com uma tenda de circo."
"12e863b7";"Never set eyes on such an ugly mess in my life.";"Nunca vi tamanha aberração na minha vida."
"12e8d6c0";"Just plain nasty is what you are. Phooo!";"Você é simplesmente repugnante. Que horror!"
"17e86b51";"Do I really have to look at you?";"Eu realmente preciso olhar para você?"
"17e86b52";"I'd tear out me eyes just to be rid of your sight.";"Eu arrancaria meus olhos só para me livrar da sua visão."
"17e86b53";"I didn't even know such hideousness existed in the world.";"Eu nem sabia que tamanha monstruosidade existia no mundo."
"17e86b55";"My life of luxury had not prepared me for such a sight.";"Minha vida de luxo não me preparou para tal visão."
"17e86b56";"What a sight! Ugh!";"Que visão! Credo!"
"17e86b57";"Is Ugly your middle name or your whole name?";"Feio é seu nome do meio ou seu nome completo?"
"17ea0ab4";"You should get a doctor to patch up that face of yours.";"Você deveria procurar um médico para dar um jeito nesse seu rosto."
"1cac8631";"You've got ugliness down pat.";"Você domina a feiura."
"1cac8633";"Hideous is not the word. But it's close.";"Horrível não é a palavra certa. Mas chega perto."
"1cac8634";"Ugh! That's just nasty.";"Credo! Que nojo."
"1cac8635";"You are truly repellent.";"Você é realmente repugnante."
"1cac8636";"You are the very model of ugliness.";"Você é a própria personificação da feiura."
"1cac8637";"Ugh! You're testing the sturdiness of my guts.";"Argh! Você está testando a resistência das minhas entranhas."
"1cae7d65";"And I thought my sisters were ugly!";"E eu que pensava que minhas irmãs eram feias!"
"23ac9131";"Ough! I shall have nightmares after such a sight.";"Credo! Terei pesadelos depois de ver uma coisa dessas."
"23ac9132";"Please! I must avert my eyes!";"Por favor! Preciso desviar o olhar!"
"23ac9133";"What a piggin' sight!";"Que visão repugnante!"
"23ac9134";"I'd rather boil my eyes in sewer water than look at you.";"Prefiro ferver meus olhos em água de esgoto do que olhar para você."
"23ac9135";"Ugh, that's tragic!";"Credo, que tragédia!"
"23ac9136";"That is truly disgusting.";"Isso é realmente repugnante."
"23b20478";"You're hurting my eyes.";"Você está machucando meus olhos."
"2efd2df9";"Cuh! I should have checked you weren't half hobbe fore I married ya.";"Ah! Eu devia ter verificado se você não era meio hobbe antes de casar com você."
"2efd2dfa";"Is that what adventurin' does to a face? Ugh! And I'm married to it!";"É isso que as aventuras fazem com o rosto? Credo! E eu sou casado com ele!"
"2efd2dfb";"You are most unsightly, dear.";"Você é muito feio, querido."
"2efd2dfd";"Oh, please, darling, you'll repulse the neighbours.";"Ah, por favor, querido, você vai causar repulsa nos vizinhos."
"2efd2dfe";"With a face like that at least I'm not worried about you cheating on me!";"Com um rosto desses, pelo menos não me preocupo com você me traindo!"
"2efd2dff";"My sister always said I'd end up married to a Troll.";"Minha irmã sempre dizia que eu acabaria casada com um Troll."
"2efd9fc4";"You know when I said looks weren't important? I lied.";"Sabe quando eu disse que a aparência não importava? Eu menti."
"3786ca19";"You have defaced a thing of beauty!";"Você profanou uma coisa linda!"
"3786ca1a";"Beauty may be in the eye of the beholder, but you appear to have traded it for unsightliness.";"A beleza pode estar nos olhos de quem vê, mas você parece tê-la trocado pela feiura."
"3786ca1b";"Agh! Someone disfigure that nice face of yours or sumthin'?";"Agh! Alguém desfigurou esse seu lindo rosto ou algo assim?"
"3786ca1c";"Huh! Not looking so pretty no more!";"Hum! Não está mais tão bonita!"
"3786ca1d";"Ugh! That's not how I remember you.";"Ugh! Não é assim que me lembro de você."
"3786ca1e";"So that's what you'd look like if you were ugly.";"Então é assim que você ficaria se fosse feio(a)."
"3787a57a";"Sick of people staring at you and decided to give ugliness a try?";"Cansado(a) de olhares curiosos, resolveu experimentar a feiura?"
"39fd3f29";"What a sight you are! One too many hits to the head I'm guessing.";"Que visão! Acho que você levou pancadas demais na cabeça."
"39fd3f2a";"I must've sinned bad to end up with someone who looks like you.";"Devo ter pecado muito para acabar com alguém que se parece com você."
"39fd3f2b";"Oh, darling, that is thoroughly unpleasant!";"Oh, querida, isso é extremamente desagradável!"
"39fd3f2c";"Darling! Please refrain from such hideousness.";"Querida! Por favor, evite tamanha monstruosidade."
"39fd3f2e";"Ugh, please, luv, you could make a bit of an effort.";"Ugh, por favor, amor, você poderia se esforçar um pouco."
"39fd3f2f";"Looks aren't everything, but they're something.";"A aparência não é tudo, mas é importante."
"39fe9501";"How about sprucing yourself up a bit. Maybe with a helmet and a mask.";"Que tal dar um trato no visual? Talvez com um capacete e uma máscara."
"4086d869";"You won't be winning many beauty contests if you keep doing that.";"Você não vai ganhar muitos concursos de beleza se continuar fazendo isso."
"4086d86b";"Is that what the good-looking people are doing these days? I don't think so...";"É isso que as pessoas bonitas andam fazendo hoje em dia? Acho que não..."
"4086d86c";"Why would you make yourself look so ugly?";"Por que você se faria parecer tão feio(a)?"
"4086d86d";"Oh dear, a beautiful image ruined!";"Oh, céus, uma bela imagem arruinada!"
"4086d86e";"I am mystified as to why you would soil your looks in this manner.";"Estou perplexo(a) com o motivo de você ter estragado sua aparência dessa maneira."
"4086d86f";"Huh. Got tired of your good looks have ya?";"Hum. Cansou da sua beleza, não é?"
"408a687a";"That's right, try and look a bit more like the rest of us.";"Isso mesmo, tente se parecer um pouco mais com o resto de nós."
"4615b5e9";"Oh, must you do that?";"Ah, precisa mesmo fazer isso?"
"4615b5ea";"I cannot fathom why you would choose such an appearance.";"Não consigo entender por que você escolheria essa aparência."
"4615b5eb";"You choose to look that way?";"Você escolheu ter essa aparência?"
"4615b5ec";"What a sight.";"Que visão!"
"4615b5ed";"Do you choose to look like that?";"Você escolheu ter essa aparência?"
"4615b5ee";"Oh dear...";"Oh, céus..."
"4618e180";"Uff!";"Ufa!"
"47e62a19";"That's gross gross gross.";"Que nojo!"
"4ee5e4ce";"Eeeww! Ugggglllyyyyyy!";"Eca! Que horror!"
"4f15c439";"Dear me. Did you choose to look like that?";"Meu Deus. Você escolheu ficar assim?"
