Hash;Original;Tradução
"5b8e69a";"And so the girl survived.";"E assim a garota sobreviveu."
"5c257ea";"And so the boy survived.";"E assim o garoto sobreviveu."
"8ad2c7a";"With time, the boy's pain turned to strength. His grief became will.";"Com o tempo, a dor do menino se transformou em força. Sua tristeza se tornou força de vontade."
"8ae4858";"With time, the girl's pain turned to strength. Her grief became will.";"Com o tempo, a dor da menina se transformou em força. Sua dor se transformou em vontade."
"11764510";"So, that would mean it's located somewhere around... No, no, that's not right.";"Então, isso significa que está localizado em algum lugar por perto... Não, não, não é isso mesmo."
"137787cd";"Hmm, that could be a great discovery. If I'm right.";"Hmm, isso pode ser uma grande descoberta. Se eu estiver certo."
"13d2a0e6";"Give Belle the treasure?";"Devo entregar o tesouro para Belle?"
"13dd0eae";"Force Push.";"Empurrão da Força."
"147649e9";"Perhaps it is buried in... yes, that might make sense.";"Talvez esteja enterrado em... sim, isso pode fazer sentido."
"15db63f0";"Give Belle the artifact?";"Dar o artefato para Belle?"
"2be5f816";"So, have you located the object yet?";"Então, você já localizou o objeto?"
"2ce79f30";"Any luck finding the artifact?";"Alguma sorte em encontrar o artefato?"
"2d16a735";"Shock Wave.";"Onda de Choque."
"2d16a737";"Blast Wave.";"Onda Explosiva."
"2d198071";"Repel.";"Repelir."
"2debfaad";"It is highly unlikely that you will find anything standing here.";"É altamente improvável que você encontre alguma coisa aqui."
"374389b2";"You are now famous enough to use the Blow Kiss expression.";"Agora você é famoso o suficiente para usar a expressão "Mandar Beijo"."
"3c1206e4";"But some grief is so great, even death may keep its distance.";"Mas algumas dores são tão grandes que até a morte pode se manter distante."
"3d11a571";"Lucien disappeared from Castle Fairfax that night, certain that those who might stand in his way were dead.";"Lucien desapareceu do Castelo Fairfax naquela noite, certo de que aqueles que pudessem ficar em seu caminho estavam mortos."
"3ee7155a";"When parents look upon their baby for the first time, they realise that until now they had no idea what love really was.";"Quando os pais olham para seus bebês pela primeira vez, percebem que até então não tinham ideia do que era o amor de verdade."
"3f131e57";"Ten winters blanketed Albion, ten summers filled the air with the sounds of insects and laughter.";"Dez invernos cobriram Albion, dez verões encheram o ar com o som de insetos e risadas."
"3fe716cd";"They see before them all possible lives the child might live. Every choice is yet to be made.";"Eles veem diante de si todas as vidas possíveis que a criança poderá viver. Todas as escolhas ainda estão por ser feitas."
"41e709cb";"Bringing a child into the world lends a new perspective on all things.";"Trazer um filho ao mundo dá uma nova perspectiva sobre todas as coisas."
"4897a1ab";"You are now famous enough to use the Victory expression.";"Você já é famoso o suficiente para usar a expressão Vitória."
"49ef1f53";"And with the wish fulfilled, the Hero of Albion returned to land, wealthy beyond measure.";"E com o desejo realizado, o Herói de Albion retornou à terra firme, rico além da conta."
"4be9bda0";"And those who might declare the Hero selfish or callous could do little but bemoan their losses and seethe in envy.";"E aqueles que pudessem declarar o Herói egoísta ou insensível pouco poderiam fazer além de lamentar suas perdas e ferver de inveja."
"4c87d2f2";"Haven't you found it yet?";"Você ainda não encontrou?"
"4cf0550d";"That which money could not buy was of little interest. That which it could buy seemed limitless.";"Aquilo que o dinheiro não podia comprar tinha pouco interesse. Aquilo que ele podia comprar parecia ilimitado."
"4d84faa1";"Don't you have something for me?";"Você não tem nada para mim?"
"4e8a8a5c";"I can smell something ancient and recently unearthed on you.";"Sinto o cheiro de algo antigo e recentemente desenterrado em você."
"4ee93350";"Yet the story does not end there. Life goes on. Our stories end where we choose.";"Mas a história não termina aí. A vida continua. Nossas histórias terminam onde escolhemos."
"56fb5bb4";"Yet the story does not end there. Life goes on. Our stories end where we choose.";"Mas a história não termina aqui. A vida continua. Nossas histórias terminam onde escolhemos."
"57fc9763";"Word travels swiftly and soon all of Albion wept with gratitude, swearing oaths to praise this great and selfless Hero forever.";"A notícia se espalhou rapidamente e logo toda Albion chorou de gratidão, jurando louvar para sempre este grande e altruísta Herói."
