Hash;Original;Tradução
"8d30259";"Hee hee, I never knew this could be such fun.";"Hehe, eu nunca imaginei que isso pudesse ser tão divertido."
"8d3025a";"Ho ho, what do you mean mirth rhymes with girth?";"Ho ho, como assim "alegria rima com circunferência"?"
"8d3025b";"Stop making me laugh. You'll scare it away!";"Pare de me fazer rir. Você vai espantá-lo!"
"8d3025c";"You can't be serious for a second can ya?";"Você não pode estar falando sério nem por um segundo, pode?"
"8d3025d";"Hee hee. I've never laughed so much while I was doing this.";"Hehe. Nunca ri tanto fazendo isso."
"8d3025f";"Can't you be serious for even thirty seconds?";"Você não consegue ser sério por trinta segundos?"
"8d3e437";"Ha ha, stop, you're spoiling the mood, ha ha.";"Haha, pare, você está estragando o clima, haha."
"192f2871";"Aahhh, yeeeees.";"Aahhh, sim."
"192f2873";"Aahhh, yeeeees.";"Aahhh, sim."
"192f2874";"Aahhh, yeeeees.";"Aahhh, sim."
"192f2875";"Aahhh, yeeeees.";"Aahhh, sim."
"192f2876";"Aahhh, yeeeees.";"Aahhh, sim."
"192f2877";"Aahhh, yeeeees.";"Ahhh, simmm."
"192fff7c";"Aahhh, yeeeees.";"Ahhh, simmm."
"202f3371";"Aahhh, yeeeees.";"Ahhh, simmm."
"202f3372";"Aahhh, yeeeees.";"Ahhh, simmm."
"202f3373";"Aahhh, yeeeees.";"Ahhh, simmm."
"202f3374";"Aahhh, yeeeees.";"Aahhh, sim."
"202f3375";"Aahhh, yeeeees.";"Aahhh, sim."
"202f3376";"Aahhh, yeeeees.";"Aahhh, sim."
"2030a3f3";"Aahhh, yeeeees.";"Aahhh, sim."
"31deb5e2";"I bet you're into leather, aren't you?";"Aposto que você curte couro, não é?"
"31deb5e3";"This isn't your first time, is it?";"Esta não é a sua primeira vez, é?"
"31deb5e4";"You're such a bad boy. Oh yes.";"Você é um garoto tão mau. Ah, sim."
"31deb5e5";"Oh, you know all about sin, don't ya?";"Ah, você sabe tudo sobre pecado, não é?"
"31deb5e6";"You as good as killing as you are at this?";"Você é tão bom em matar quanto nisso?"
"31deb5e7";"Oh, you're nothing like my childhood sweetheart!";"Oh, você não é nada como meu amor de infância!"
