Hash;Original;Tradução
"3a39be2";"Yes! I don't know how you've done it, but this is just what I was looking for. Prepare to pose like you've never posed before!";"Sim! Eu não sei como você conseguiu, mas era exatamente isso que eu estava procurando. Prepare-se para posar como nunca antes!"
"5a78528";"Westcliff. Cost: 100 Gold";"Westcliff. Custo: 100 peças de ouro"
"8c9b158";"Hmm, I just need to chip a bit more off here...";"Hum, só preciso tirar mais um pouquinho daqui..."
"98a85a2";"Oh, my poor boy.";"Oh, meu pobre menino."
"98a85a3";"Oh, my poor boy.";"Oh, meu pobre menino."
"98a85a4";"Oh, my poor boy.";"Oh, meu pobre menino."
"98a85a5";"Oh, my poor boy.";"Oh, meu pobre menino."
"98a85a6";"Oh, my poor boy.";"Oh, meu pobre menino."
"98a85a7";"Oh, my poor boy.";"Oh, meu pobre menino."
"98c17e4";"Oh, my poor boy.";"Oh, meu pobre menino."
"acdf5e1";"Oh, Susannah, you're a genius.";"Oh, Susannah, você é um gênio."
"bcf9309";"Come on statue, I know you're in there. Reveal yourself.";"Vamos lá, estátua, eu sei que você está aí dentro. Revele-se."
"c5ac168";"Ahh, you wish to model for me again?";"Ah, você gostaria de ser meu modelo novamente?"
"e065698";"Not yet found.";"Ainda não encontrado."
"13bb9cbc";"The Sculptor";"O Escultor"
"17b83028";"Commission a statue for:";"Encomende uma estátua para :"
"1d434080";"You have found an empty statue plinth. If only there was a sculptor who could create a statue of you to go here...";"Você encontrou um pedestal vazio para estátua. Se ao menos houvesse um escultor que pudesse criar uma estátua sua para colocar aqui..."
"1ee55cba";"Brightwood. Cost: 75 Gold";"Brightwood. Custo: 75 peças de ouro"
"2042a627";"You have found an empty statue plinth. You can commission the Oakfield sculptor to create a statue of you to go here.";"Você encontrou um pedestal vazio para estátua. Você pode encomendar ao escultor de Oakfield uma estátua sua para colocar aqui."
"20cd6bb9";"The space that surrounds you has an energy of its own, a quasi-tangible representation of ontological malaise. So start posing already!";"O espaço que te rodeia tem uma energia própria, uma representação quase tangível de um mal-estar ontológico. Então comece a posar!"
"2168e836";"Oh, you have snatched a moment in time and made it yours. Now I shall make it mine.";"Oh, você capturou um momento no tempo e o tornou seu. Agora eu o tornarei meu."
"21cd1cb7";"I can't contextualise your adventuring spirit until you pose for me!";"Não consigo entender seu espírito aventureiro até você posar para mim!"
"22cad2a5";"Introversion is not an option. Express all! Exteriorise all!";"Introversão não é uma opção. Expresse tudo! Exteriorize tudo!"
"2e890308";"Wow! What a remarkable transformation! You have truly scaled the mountains of perfection.";"Uau! Que transformação incrível! Você realmente escalou as montanhas da perfeição."
"318add94";"No doubt you have detected the sarcasm in my tone. Try harder. I'm not working on an abstract.";"Sem dúvida, você percebeu o sarcasmo no meu tom. Tente mais. Não estou trabalhando em um abstrato."
"319f6535";"Commission a statue?";"Encomendar uma estátua?"
"327f8416";"What are you waiting for?";"O que você está esperando?"
"329d4f5c";"Speak to Susannah.";"Fale com Susannah."
"339cdb00";"Release the expression.";"Solte a expressão."
"33e47459";"You know what to do. Begin posing!";"Você sabe o que fazer. Comece a posar!"
"349d6803";"Perform and hold an expression.";"Faça e mantenha uma expressão."
"34e2351e";"Anything you like, but remember to hold it until I tell you to finish.";"Qualquer coisa que você quiser, mas lembre-se de segurar até eu mandar terminar."
"35a1631a";"Model for the sculptor?";"Modelo para o escultor?"
"3acdf6d1";"You're coming home with me.";"Você vem para casa comigo."
"3acdf6d2";"You're coming home with me.";"Você vai para casa comigo."
"3acdf6d3";"You're coming home with me.";"Você vai para casa comigo."
"3acdf6d4";"You're coming home with me.";"Você vai para casa comigo."
"3acdf6d5";"You're coming home with me.";"Você vai para casa comigo."
"3acdf6d7";"You're coming home with me.";"Você vai para casa comigo."
"3ace136b";"You're coming home with me.";"Você vai para casa comigo."
"41ce01d9";"You're coming home with me.";"Você vai para casa comigo."
