Hash;Original;Tradução
"1eb656f";"Erm, the thing is, we found this cave... but we kind of... accidentally released a pretty nasty banshee.";"Bem, o negócio é o seguinte: encontramos esta caverna... mas meio que... acidentalmente libertamos uma banshee bem perigosa."
"1f60e02";"But they seem so fruitless at times, Brother Toby.";"Mas às vezes parecem tão inúteis, Irmão Toby."
"2ec05e8";"It's probably tearing up Bloodstone by now. Slaughtering everything in its path.";"Provavelmente já está destruindo Bloodstone. Massacrando tudo em seu caminho."
"2f70d49";"We will transform this lawless town. All it takes a little faith.";"Transformaremos esta cidade sem lei. Tudo o que precisamos é um pouco de fé."
"319ea89";"Now go, and may Benevolent Yokels guide your hand.";"Agora vá, e que os Caipiras Benevolentes guiem sua mão."
"3eb68b5";"You have to kill it. Please. If Mother finds out...";"Você tem que matar isso. Por favor. Se a mamãe descobrir..."
"4384792";"Scare Toby until he leaves town or kill him.";"Assuste o Toby até ele ir embora da cidade ou mate-o."
"47e6caf";"Give the pie to Toby?";"Dê a torta para o Toby?"
"4edafd4";"Yeah, that reminds me, we really should get back to Bowerstone.";"É, isso me lembra, a gente devia voltar para Bowerstone."
"4f657cb";"We must continue our efforts regardless, Sister Beverly.";"Devemos continuar nossos esforços, irmã Beverly."
"57fc6b5";"Give the wine to Toby?";"Dar o vinho para o Toby?"
"5f619e0";"It is clear that we must cleanse this town of the infamous Silver Serpent.";"É evidente que devemos livrar esta cidade da infame Serpente Prateada."
"67fd7d0";"Give the mutton to Toby?";"Dar o carneiro para o Toby?"
"6f713f5";"But how? They're so powerful. And they've stolen so many holy pieces from our Temple.";"Mas como? Eles são tão poderosos. E roubaram tantas peças sagradas do nosso Templo."
"785be64";"Help Toby transform Bloodstone into a peaceful town?";"Ajude Toby a transformar Bloodstone em uma cidade pacífica?"
"7f7e078";"We could use some help too.";"Também precisamos de ajuda."
"8f61908";"You speak the truth, Sister. Indeed you do.";"Você fala a verdade, Irmã. Sim, você sabe."
"1539cfd0";"What?! Go away. I'm busy!";"O quê?! Vá embora. Estou ocupada!"
"1737f020";"Look, I said-- Oh, it's you. Uh, I'm not quite finished here. Why don't you go and find, um, uh, let me see... what else do I want?";"Olha, eu disse... Ah, é você. Hum, ainda não terminei. Por que você não vai procurar, hum, uh, deixe-me ver... o que mais eu quero?"
"1839f832";"I won't ask you again. Get lost!";"Não vou perguntar de novo. Suma daqui!"
"1e9ba208";"Search the house and retrieve the Wine of Forgiveness.";"Procure pela casa e recupere o Vinho do Perdão."
"2104e3d3";"This quest will prove your worth to T.O.B.Y.";"Esta missão provará seu valor para T.O.B.Y."
"2204efe4";"When you return with the item, I will reveal the truth about Bloodstone's rotten underbelly.";"Quando você retornar com o item, revelarei a verdade sobre o lado obscuro e podre de Bloodstone."
"228eba59";"Knock on Toby's door until he opens it.";"Bata na porta de Toby até que ele abra."
"2303ff64";"Watch your step out there. You never know what dark presence lurks in the shadows.";"Cuidado por onde anda. Você nunca sabe que presença sombria espreita nas sombras."
"278d1805";"At first glance your targets may appear to be normal households, but they are in fact the secret quarters of members of the Silver Serpent.";"À primeira vista, seus alvos podem parecer residências normais, mas na verdade são os aposentos secretos de membros da Serpente Prateada."
"29a27605";"Perhaps you feel at home in this lair of wickedness, but helping the Temple could bring you great rewards.";"Talvez você se sinta em casa neste covil da maldade, mas ajudar o Templo pode lhe trazer grandes recompensas."
"29f5b159";"I sense it is hidden in a nearby house. I see... two barrels and a cart outside. Turn left when you leave and go up the street.";"Sinto que está escondido em uma casa próxima. Vejo... dois barris e uma carroça do lado de fora. Vire à esquerda ao sair e suba a rua."
"2a8d26da";"This is a city of sin. Beware. Vultures. Vultures everywhere.";"Esta é uma cidade do pecado. Cuidado. Abutres. Abutres por toda parte."
"2af5b2cc";"I will tell you more soon, but first you must recover the second of the stolen holy ritual pieces. It is the Wine of Forgiveness.";"Contarei mais em breve, mas primeiro você precisa recuperar a segunda das peças sagradas do ritual roubadas. É o Vinho do Perdão."
"2ba98e42";"Argh!";"Argh!"
"2df5b785";"Wonderful! You have retrieved the Mutton of Eternal Hope. You are a deserving member of T.O.B.Y.";"Maravilhoso! Você recuperou o Carneiro da Esperança Eterna. Você é um membro merecedor da T.O.B.Y."
"2ff54097";"Forget about Reaver, Bloodstone is ruled by a secret organisation known as the Silver Serpent.";"Esqueça Reaver, Bloodstone é governada por uma organização secreta conhecida como Serpente Prateada."
"30f5bc5e";"It is time I told you the reason for this city's chaotic state.";"Chegou a hora de eu te contar o motivo do estado caótico desta cidade."
"37e0e5be";"(whimpers)";"(choraminga)"
"3af68d32";"T.O.B.Y.";"T.O.B.Y."
"3b9b74fd";"I am Toby, of T.O.B.Y., the Temple of Benevolent Yokels. I am on a mission to turn this town into as peaceful and rustic a land as Bowerstone or Oakfield.";"Eu sou Toby, do T.O.B.Y., o Templo dos Caipiras Benevolentes. Estou em uma missão para transformar esta cidade em um lugar tão pacífico e rústico quanto Bowerstone ou Oakfield."
"3b9e34b0";"But I need someone to recover the holy pieces for the Rite of Cleansing.";"Mas preciso de alguém para recuperar as peças sagradas para o Rito de Purificação."
"3c94d91a";"Give Toby the mutton.";"Dê o carneiro para o Toby."
"3c9c85c1";"And yet, you have no doubt noticed what a corrupt and sinful place it is.";"E, no entanto, você sem dúvida já percebeu como este lugar é corrupto e pecaminoso."
"3d9d3a4f";"Welcome, stranger. You are not a native Bloodstoner, are you?";"Bem-vindo(a), forasteiro(a). Você não é um(a) nativo(a) de Bloodstone, é?"
"4814e923";"(screams)";"(gritos)"
"4916f9e8";"(whimpers)";"(choramingos)"
"4fe29469";"Search the house and retrieve the stolen Mutton of Eternal Hope.";"Procure pela casa e recupere o Carneiro da Esperança Eterna roubado."
"5014d090";"Mummy!";"Múmia!"
"516a66f8";"They're going to kill us!";"Eles vão nos matar!"
"52149131";"Help! Please!";"Socorro! Por favor!"
"5269d293";"Someone! Please! Anyone! Help!";"Alguém! Por favor! Qualquer um! Socorro!"
"5314d569";"Somebody save us!";"Alguém nos salve!"
"5414d6dc";"My brother is a prat! Help!";"Meu irmão é um idiota! Socorro!"
"546c57e8";"Help! Help!";"Socorro! Socorro!"
"5514fdba";"Help! We're all out of biscuits!";"Socorro! Acabaram-se os biscoitos!"
"5614da22";"(screams)";"(gritos)"
"56be8208";"The Temple of Benevolent Yokels needs your help.";"O Templo dos Caipiras Benevolentes precisa da sua ajuda."
"5714db95";"My brother is a twit! Help!";"Meu irmão é um idiota! Socorro!"
"5c03351b";"Leave the T.O.B.Y. headquarters.";"Saia do quartel-general da T.O.B.Y."
"62a5cc75";"Please! Don't kill me! I'll leave! Leave forever! Argh!";"Por favor! Não me mate! Eu vou embora! Para sempre! Argh!"
"62f20355";"You ask me, you ought to get rid of that swindler. Scare him out of town or cut his head off, I don't care. Plenty of people round here'll thank you for it. And you've got no guards to worry about.";"Se me perguntarem, vocês deveriam se livrar desse vigarista. Expulsá-lo da cidade ou cortar-lhe a cabeça, tanto faz. Muita gente por aqui vai agradecer. E vocês não precisam se preocupar com guardas."
"6384fdd0";"I established the Temple of Benevolent Yokels after a trip to Oakfield and seeing what a calm and happy community it was.";"Fundei o Templo dos Caipiras Benevolentes após uma viagem a Oakfield, onde pude constatar a calma e a felicidade da comunidade."
"63f18a7d";"What was it this time, the temple thing again? Heh heh heh. I bet he reeled you in by talking to some fake brother or sister about how they'd clean up this town.";"O que era mesmo, aquela coisa do templo de novo? Heh heh heh. Aposto que ele te fisgou falando com algum falso irmão ou irmã sobre como eles iriam limpar esta cidade."
"6485eb4d";"One day I realised that, while yodelling does indeed purify the soul, there are better ways to improve the world than commerce.";"Um dia percebi que, embora o iodelei realmente purifique a alma, existem maneiras melhores de melhorar o mundo do que o comércio."
"64d6f8e4";"It has come to my attention that certain poor people are forced to walk the streets, selling their flesh in a most sinful way. Bring me one such lost soul that I may show her the error of her ways.";"Chegou ao meu conhecimento que certas pessoas pobres são forçadas a andar pelas ruas, vendendo sua carne de uma maneira extremamente pecaminosa. Traga-me uma alma perdida para que eu possa mostrar-lhe o erro de seus caminhos."
"64f5d361";"That swine always gets an outsider to do his dirty business using some scam.";"Aquele canalha sempre usa algum golpe para enganar alguém de fora e fazer seus negócios sujos."
"65861ab2";"Maybe you heard of the previous incarnation of T.O.B.Y.? The Temple of Business and Yodelling?";"Talvez você já tenha ouvido falar da encarnação anterior de T.O.B.Y.? O Templo dos Negócios e do Iodel?"
"65d73a55";"In fact, before we gather the final items for the Ritual of Cleansing, I have an important mission for you. One that will begin the purge at once.";"Na verdade, antes de reunirmos os itens finais para o Ritual de Purificação, tenho uma missão importante para você. Uma que vai iniciar a purga imediatamente."
"65f6506a";"So you're Toby's latest patsy are you?";"Então você é o mais novo bode expiatório do Toby, é?"
"66d775d4";"Ah, yes, thank you. A million times thank you. We will clean up this city after all.";"Ah, sim, obrigada. Mil vezes obrigada. Afinal, vamos limpar esta cidade."
"6a8599c0";"Of course, that was before the terrible tragedy that befell that town. Such a waste.";"Claro, isso foi antes da terrível tragédia que assolou aquela cidade. Que desperdício."
"6f56274e";"It's a shame that yodelling didn't succeed in changing the hearts of the people in this city, Brother Toby.";"É uma pena que o iodelei não tenha conseguido mudar os corações das pessoas desta cidade, Irmão Toby."
"70560060";"With courage, persistence and faith, we will do it. We will wash away all evil from this cesspool.";"Com coragem, persistência e fé, nós conseguiremos. Vamos varrer todo o mal deste antro."
"71922d1f";"There are no more prostitutes left in town. Leave the region and return to see if any new ones have taken on the trade.";"Não há mais prostitutas na cidade. Saia da região e volte para ver se alguma nova entrou para a profissão."
"725918cd";"We must adapt our methods if we are to save the world, Sister Beverly.";"Precisamos adaptar nossos métodos se quisermos salvar o mundo, Irmã Beverly."
"7357a625";"Try to learn more about Toby.";"Tente aprender mais sobre Toby."
"771812b6";"Search the house and retrieve the Sacred Pie of Kindness.";"Procure pela casa e recupere a Torta Sagrada da Bondade."
