Hash;Original;Tradução
"0fb14ae";"She always makes me laugh.";"Ela sempre me faz rir."
"0fe151b";"He always makes me laugh.";"Ele sempre me faz rir."
"1a75e0a";"Didn't she give you the chills?";"Ela não te deu arrepios?"
"1aac8df";"Didn't he give you the chills?";"Ele não te deu arrepios?"
"a67c423";"Ewww, what's that smell? Someone's farted!";"Eca, que cheiro é esse? Alguém peidou!"
"b1152fd";"She's such a tease.";"Ela é uma provocadora."
"b165975";"He's such a tease.";"Ele é um provocador."
"c2f030a";"Don't mind telling you, he really scared me just now.";"Não me importo de dizer, ele me assustou muito agora."
"c33551e";"Don't mind telling you, she really scared me just now.";"Não me importo de dizer, ela me assustou muito agora."
"fe5031f";"May blood spurt from your nostrils as you gag on your own dark soul, friend.";"Que o sangue jorre de suas narinas enquanto você se engasga com sua própria alma sombria, amigo."
"feaf0ff";"We shall rain down destruction upon the world. At least those parts of the world that we don't like.";"Vamos semear destruição sobre o mundo. Pelo menos sobre as partes do mundo que não gostamos."
"148bc05a";"Right little flirt she is.";"Ela é uma verdadeira paqueradora."
"148c2c62";"He's a right flirt.";"Ele é um verdadeiro paquerador."
"16d82cc9";"Did you see how funny he just was?";"Você viu como ele estava engraçado?"
"16da6f44";"Did you see how funny she just was?";"Você viu como ela foi engraçada?"
"22a7e93a";"He was trying to scare half the town silly.";"Ele estava tentando assustar metade da cidade."
"22ac5708";"She was trying to scare half the town silly.";"Ela estava tentando assustar metade da cidade."
"24539f3b";"Honestly, have you ever seen anyone so rude. She's terrible, really.";"Sinceramente, você já viu alguém tão grosseiro? Ela é terrível, de verdade."
"2455acf9";"Honestly, have you ever seen anyone so rude. He's terrible, really.";"Sinceramente, você já viu alguém tão grosseiro? Ele é terrível, de verdade."
"277b3319";"I had a dream about you. Blood, spikes, bottoms, not a pretty sight.";"Sonhei com você. Sangue, espinhos, bundas, uma visão nada agradável."
"28e0e761";"Ooooh! Bleedin' heck! What've you been eating?!";"Uau! Caramba! O que você andou comendo?!"
"28e0e764";"Ooooh! What a stink!! Eeeewww! Who dropped a load?";"Uau! Que fedor!! Eca! Quem soltou esse barro?"
"28e0e766";"Ewww! Who's been eating cabbage?";"Eca! Quem andou comendo repolho?"
"28e0e767";"Ewww! Someone needs to see a doctor!";"Eca! Alguém precisa ir ao médico!"
"28e23c4e";"Ooooh! What is that smeeeeeeell???";"Ooooh! Que cheiro é esse???"
"292f2808";"I tell you, when she does those things, I start shaking like a small child.";"Eu te digo, quando ela faz essas coisas, eu começo a tremer como uma criança pequena."
"292f7234";"I tell you, when he does those things, I start shaking like a small child.";"Eu te digo, quando ele faz essas coisas, eu começo a tremer como uma criança pequena."
"29c7718a";"She's a right flirt, her.";"Ela é uma verdadeira paqueradora."
"29c94490";"He's a right flirt.";"Ele é um verdadeiro paquerador."
"2bb213a9";"Oh yeah, he did that funny bit. It was great.";"Ah, sim, ele fez aquela parte engraçada. Foi ótimo."
"2bb472de";"Oh yeah, she did that funny bit. It was great.";"Ah, sim, ela fez aquela parte engraçada. Foi ótimo."
"2da4364b";""I wandered lonely as a Shadow, that eats newborn babies and puppies..." I love that poem, don't you?";""Vaguei solitário como uma Sombra, que devora bebês recém-nascidos e filhotes..." Adoro esse poema, e você?"
"2da4a617";"We're going to roast marshmallows this weekend. But the fire will be fuelled by babies' tears, so that should make them evil marshmallows.";"Vamos assar marshmallows neste fim de semana. Mas o fogo será alimentado pelas lágrimas dos bebês, então isso deve transformá-los em marshmallows malignos."
"2de0ef01";"Ugh! Who farted? Come on! Who was it? Oh, it was you, wasn't it?";"Eca! Quem soltou um pum? Vamos lá! Quem foi? Ah, foi você, não foi?"
"2de0ef05";"Uuuugh! What did you have for breakfast?!";"Eca! O que você comeu no café da manhã?!"
"2de0ef06";"Oh, I can hardly breathe!";"Oh, mal consigo respirar!"
"2de0ef07";"Ugh! I think we're under attack from some sort of alchemical weapon. What a stink!";"Argh! Acho que estamos sob ataque de algum tipo de arma alquímica. Que fedor!"
"2de2446d";"Oh, that's just disgusting!";"Oh, que nojo!"
"2f00cb9b";"How you ever met anyone as rude as her?";"Como você já conheceu alguém tão grosseira quanto ela?"
"2f07a5e1";"Have you ever met anyone as rude as him?";"Você já conheceu alguém tão grosseiro quanto ele?"
"344f168a";"Never met anyone who flirts as much as him.";"Nunca conheci ninguém que flertasse tanto quanto ele."
"3451f3f4";"Never met anyone who flirts as much as her.";"Nunca conheci ninguém que flertasse tanto quanto ela."
"35f904a7";"Those light-worshippers are nothing but cads.";"Aqueles adoradores da luz não passam de canalhas."
"35fce7cc";"I dream of a world ruled by Shadows. And as many cups of tea as you can swallow.";"Eu sonho com um mundo governado pelas Sombras. E quantas xícaras de chá você conseguir engolir."
"42396bae";"He really was funny just now, wasn't he?";"Ele estava muito engraçado agora, não estava?"
"423af11b";"She really was funny just now, wasn't she?";"Ela estava muito engraçada agora, não estava?"
"4edb769d";"He does that again, I'll headbutt him.";"Se ele fizer isso de novo, vou dar uma cabeçada nele."
"4edbebd4";"She does that again, I'll headbutt her.";"Se ela fizer isso de novo, vou dar uma cabeçada nela."
"505e0979";"Oh my life, that smell is horrific! Have you soiled yourself?!";"Meu Deus, que cheiro horrível! Você se sujou?!"
"530e4bcf";"Oh, wasn't she just hilarious?";"Ah, ela não era hilária?"
"530fe425";"Oh, wasn't he just hilarious?";"Oh, ele não foi hilário?"
"581683d9";"Ha ha, she sure knows how to make me laugh.";"Haha, ela sabe mesmo como me fazer rir."
"5818be8b";"Ha ha, he sure knows how to make me laugh.";"Haha, ele sabe mesmo como me fazer rir."
"5d608d9b";"He was doing his funny tricks again, did you see?";"Ele estava fazendo suas gracinhas de novo, você viu?"
"5d61196c";"She was doing her funny tricks again, did you see?";"Ela estava fazendo suas gracinhas de novo, você viu?"
"6b768271";"I still remember my days before joining the Temple. Oh, all that time wasted eating cucumber sandwiches. Not we have evil cucumber sandwiches.";"Ainda me lembro dos meus dias antes de entrar para o Templo. Ah, todo aquele tempo perdido comendo sanduíches de pepino. Agora temos sanduíches de pepino malignos."
"6b788417";"Being a shadow-worshipper is not all jolly good fun, you know. No, Master Grim made me stand in a corner holding a large turnip yesterday. Still don't know why.";"Ser um adorador das sombras não é só diversão, sabia? Não, o Mestre Grim me fez ficar de castigo num canto segurando um nabo enorme ontem. Ainda não sei porquê."
"70cc72db";"I have some reward points from the wheel you know. I wonder what I should redeem them for? That giant fork is pretty nifty isn't it?";"Eu tenho alguns pontos de recompensa da roda, sabia? Será que eu deveria trocá-los por algo? Aquele garfo gigante é bem bacana, não é?"
"70cf00b2";"It's not that I don't love evil. But sometimes... I don't know, it seems like too much work.";"Não é que eu não goste do mal. Mas às vezes... sei lá, parece dar muito trabalho."
"77761caa";"Isn't he just the rudest?";"Ele não é o mais grosseiro?"
"777a95c1";"Isn't she just the rudest?";"Ela não é a mais grosseira?"
"78278271";"I planned a beautiful orgy last week. You should join us for the next orgy-planning session.";"Planejei uma bela orgia na semana passada. Você deveria se juntar a nós na próxima sessão de planejamento de orgias."
"7827a236";"I had a dream about you. Blood, spikes, bottoms, not a pretty sight.";"Sonhei com você. Sangue, espinhos, traseiros, uma visão nada agradável."
"7c9a00ad";"Do you know I've been trying to think of what the most evil-sounding word is. Yes, I still can't quite decide between "impalement" and "rhubarb."";"Você sabia que eu ando tentando pensar em qual é a palavra que soa mais maligna? Sim, ainda não consigo decidir entre "empalamento" e "ruibarbo.""
"7c9a14c1";"What rhymes with Shadow? Bone marrow! Yes, I will make the Shadow the world's bone marrow. Beautiful!";"O que rima com Sombra? Medula óssea! Sim, eu farei da Sombra a medula óssea do mundo. Lindo!"
"84bccc0d";"Those were some scary things he was doing just now.";"Aquelas foram algumas coisas assustadoras que ele estava fazendo agora."
"84bd4341";"Those were some scary things she was doing just now.";"Aquelas foram algumas coisas assustadoras que ela estava fazendo agora."
