Hash;Original;Tradução
"0462928";"Take these magical arrows! Only they can help you defeat the baddy!";"Pegue estas flechas mágicas! Só elas podem te ajudar a derrotar o vilão!"
"1a52c84";"I control the elements!";"Eu controlo os elementos!"
"25b13e8";"I'm an evil monk and I'm going to destroy the Temple of Light!";"Eu sou um monge maligno e vou destruir o Templo da Luz!"
"53cfe56";"Watch me use my tiny flute to do unbeliavable magic!";"Veja-me usar minha pequena flauta para fazer magia inacreditável!"
"6a2520c";"I'm princess Isolda and I don't need rescuing. I can look after myself!";"Sou a princesa Isolda e não preciso ser resgatada. Sei me cuidar!"
"7d9717e";"Thanks for making sure I'm never hungry.";"Obrigado por garantir que eu nunca passe fome."
"9595dcf";"Let's wipe out the Temple of Light!";"Vamos destruir o Templo da Luz!"
"fa91eb8";"I am Kink, and I will rescue princess Isolda!";"Eu sou Kink e vou resgatar a princesa Isolda!"
"120d13a9";"Not so fast, mum!";"Calma aí, mãe!"
"120dc678";"Not so fast, dad!";"Calma aí, pai!"
"17219105";"I want to be Whisper! Who wants to be Thunder?";"Eu quero ser o Sussurro! Quem quer ser o Trovão?"
"1a313ef2";"All the members of my party have spikey hair!";"Todos os membros do meu grupo têm cabelo espetado!"
"1d119a68";"Wait for me, dad!";"Espere por mim, pai!"
"1d14e870";"Wait for me, mum!";"Espere por mim, mãe!"
"1d606bbe";"I'm as drunk as a toad and ready to punch some teeth out!";"Estou bêbado como um gambá e pronto para arrancar alguns dentes!"
"1e209a3f";"I don't mind our house. But it's always nicer when I play round at my friends'.";"Eu não me importo com a nossa casa. Mas é sempre mais legal quando eu brinco na casa dos meus amigos."
"1f2de0b3";"I need a resurrection spell!";"Preciso de um feitiço de ressurreição!"
"1feefa76";"I'm the strongest Hero in the wooooooorld!";"Eu sou o Herói mais forte do ooooorl!"
"221656d9";"Lightning bolt! You're fried!";"Raio! Você está frito!"
"232077ec";"I guess our house is ok. But I prefer playing at my friend's house.";"Acho que nossa casa é boa. Mas prefiro jogar na casa do meu amigo."
"24f1408c";"My big brother says role-playing is for children and geeks... What does he know?!";"Meu irmão mais velho diz que RPG é coisa de criança e nerd... O que ele sabe?!"
"28615cc3";"I've been drinkin' for seven days straight! Who wants a fight??";"Estou bebendo há sete dias seguidos! Quem quer briga??"
"2b177e4e";"Weeblo Wabblo Kooglo. I've turned you into a chicken!";"Weeblo Wabblo Kooglo. Eu te transformei em uma galinha!"
"2c878ef9";"Why do we have to live in our stupid house?";"Por que temos que morar nesta casa idiota?"
"2e011d58";"Our house isn't the best, but it's okay.";"Nossa casa não é das melhores, mas é aceitável."
"327010fe";"What's that man doing, mum?";"O que aquele homem está fazendo, mãe?"
"350174c2";"There's lots of houses nicer than ours, isn't there?";"Há muitas casas mais bonitas que a nossa, não é?"
"35859f5c";"Can we move to a nicer house?";"Podemos nos mudar para uma casa melhor?"
"36af2a9f";"Pfff! This house sucks! Can't we live somewhere else?";"Pfff! Esta casa é horrível! Não podemos morar em outro lugar?"
"38d540d8";"Daddy, what's that strange lady doing?";"Papai, o que aquela mulher estranha está fazendo?"
"3958af18";"I hate this house! How can you make us live here?!";"Eu odeio esta casa! Como você pode nos fazer morar aqui?!"
"39f864cf";"Well, I battled the seven wise men, but at least Princess Isolda is safe.";"Bem, lutei contra os sete sábios, mas pelo menos a Princesa Isolda está a salvo."
"3ae447cd";"Our house is the best!";"Nossa casa é a melhor!"
"3bed2410";"I hope we never move!";"Espero que nunca nos mudemos!"
"3c9a05c6";"Daddy!";"Papai!"
"3c9a05cd";"Don't go without me, dad!";"Não vá sem mim, pai!"
"3c9b3ec1";"Don't go without me, mum!";"Não vá sem mim, mãe!"
"3dd548f7";"What's she doing, dad?";"O que ela está fazendo, pai?"
"3e580fb8";"This house gives me nightmares. Why do we have to keep living here?";"Esta casa me dá pesadelos. Por que temos que continuar morando aqui?"
"3fe524e8";"We live in the best house ever.";"Moramos na melhor casa de todas."
"41b368f1";"I don't like living here anymore. I wish we could move...";"Eu não gosto mais de morar aqui. Eu queria que pudéssemos nos mudar..."
"430aeddd";"Why are we so poor?";"Por que somos tão pobres?"
"44f80cad";"Yay... I'm saved... Why do I always have to be kidnapped?";"Oba... Estou salvo... Por que eu sempre tenho que ser sequestrado?"
"451360d1";"What a total noob. It's pronounced melee!";"Que novato! Pronuncia-se "melee"!"
"46e9b580";"I love our house!";"Eu amo nossa casa!"
"479c9770";"Dad!";"Pai!"
"480f462a";"I'm so hungry. How come we can't afford to eat?";"Estou com tanta fome. Por que não temos dinheiro para comer?"
"4ffa2993";"Those soldiers aren't human anymore! Kill them!";"Aqueles soldados não são mais humanos! Mate-os!"
"5012a7a5";"I'm so sick of this Guildmaster. Let's kill him!";"Estou farto deste Mestre da Guilda. Vamos matá-lo!"
"52b118bd";"Mum!";"Mãe!"
"532879d4";"Why's that man doing that, daddy?";"Por que aquele homem está fazendo isso, papai?"
"54f17da0";"Fly true, my little sticks. Fly true!";"Voem reto, meus gravetos. Voem reto!"
"551af717";"Why did that man give you a present?";"Por que aquele homem te deu um presente?"
"56a3c67a";"Why is that person doing that, dad?";"Por que essa pessoa está fazendo isso, pai?"
"57b40e30";"Mummy!";"Mamãe!"
"58f759d2";"My character arc is the best!";"Meu arco de personagem é o melhor!"
"59f0e328";"My Arrows of Disappointment aren't what I expected.";"Minhas Flechas da Decepção não são o que eu esperava."
"5a2a0568";"That man's pretty weird, dad.";"Aquele homem é bem estranho, pai."
"5a48f6f6";"I cast a level 6 Storm of Slightly Chilly Decapitation.";"Eu lanço uma Tempestade de Decapitação Levemente Gelada de nível 6."
"5b980bdb";"This dungeon's level four. We're going to need bigger weapons.";"Esta masmorra é de nível quatro. Precisaremos de armas maiores."
"5e1df367";"How come you got a present from that man, mum?";"Como você ganhou um presente daquele homem, mãe?"
"5fa2f664";"What's that person doing, dad?";"O que aquela pessoa está fazendo, pai?"
"5fb1ceef";"I burn down the tree of light!";"Eu queimo a árvore da luz!"
"607c7d75";"Dad! Dad!";"Pai! Pai!"
"635ea08b";"Wait for me, dad!";"Espere por mim, pai!"
"636067d0";"Wait for me, mum!";"Espere por mim, mãe!"
"64987de0";"What do you mean girls can't be Paladins? I'll be who I want!";"Como assim garotas não podem ser Paladinas? Eu serei quem eu quiser!"
"64b65f63";"The goody monks don't stand a chance!";"Os monges bonzinhos não têm a menor chance!"
"654cbe62";"Use the Will! Look! Like this!";"Use a Vontade! Veja! Assim!"
"66d7d001";"Mum! Mum!";"Mãe! Mãe!"
"68df8864";"I'm gonna make a scarf out of your guts!";"Vou fazer um cachecol com suas tripas!"
"6a179bd8";"Hi, dad!";"Oi, pai!"
"6a2f357a";"I shall unleash the phenomenal power of the Arcane Arts upon thee!";"Eu vou liberar o poder fenomenal das Artes Arcanas sobre você!"
"6a9694fc";"I've got an arrow with your name on! Look, I carved it with my penknife.";"Eu tenho uma flecha com o seu nome! Veja, eu a esculpi com meu canivete."
"6b7ccab7";"Dad! Dad!";"Pai! Pai!"
"6bd7db5e";"Mum! Mum!";"Mãe! Mãe!"
"6bf4d8b1";"I hope we never ever ever move. We have the bestest house in the world.";"Espero que nunca, jamais, nos mudemos. Temos a melhor casa do mundo."
"6dcb8379";"We've killed all the silly monks of Light!";"Matamos todos os monges tolos da Luz!"
"6fe8add7";"You've breathed your last foul breath, you foul-breathing breather you!";"Você exalou seu último hálito fétido, seu fedorento!"
"71915a2d";"Hey! Who broke the string on my bow? Is that supposed to be funny?";"Ei! Quem quebrou a corda do meu arco? Isso é para ser engraçado?"
