Hash;Original;Tradução
"ba67591";"Clumsy Skill Potion";"Poção de Habilidade Desastrada"
"d433ffa";"Nothing covers up a horsekick to the face quite so well.";"Nada disfarça tão bem um coice de cavalo na cara."
"116fe0f9";"Rupert's Photo";"Foto de Rupert"
"12a867d0";"Lucien's Diary (Page 17)";"Diário de Lucien (Página 17)"
"15828280";"Balverine Strength Potion";"Poção de Força Balverine"
"1b3dab01";"A small music box that trembles with energy at your touch.";"Uma pequena caixa de música que vibra com energia ao seu toque."
"1cebe5b6";"Fumbling Skill Potion";"Poção de Habilidade Desastrada"
"1e37fb28";"Staggeringly weak experience potion. On the Hoggins-McGuffy Experience Scale, it barely registers a 'burned my tongue on some hot tea.'";"Poção de experiência incrivelmente fraca. Na Escala de Experiências Hoggins-McGuffy, mal chega a "queimei a língua com chá quente"."
"1fdf6ee7";"A bag containing %1 gold.";"Uma bolsa contendo %1 moedas de ouro."
"20093445";"Restores a percentage of your mana. Contains a continually icy translucent liquid of unknown origin.";"Restaura uma porcentagem da sua mana. Contém um líquido translúcido continuamente congelado de origem desconhecida."
"2250c9f1";"Makeup is a great way to light up your features, cover up wrinkles and draw the eye of all who see you. Unless you're a man, in which case you'll appear rather ridiculous.";"Maquiagem é uma ótima maneira de realçar seus traços, disfarçar rugas e atrair o olhar de todos. A menos que você seja homem, nesse caso, você parecerá um tanto ridículo(a)."
"22c2442e";"Lucien's Diary (Page 7)";"Diário de Lucien (Página 7)"
"232f04f1";"(Use this in your inventory to listen to the echo of Lucien's voice.)
I resumed my research today; I can read for an hour at a stretch before that dark cloud descends upon my mind once more.
The moments of clarity I have must suffice, I think. Perhaps in these papers I can find something that will ease my suffering. And even that of others. Perhaps.";"(Use isso em seu inventário para ouvir o eco da voz de Lucien.)
Retomei minha pesquisa hoje; consigo ler por uma hora seguida antes que aquela nuvem escura volte a pairar sobre minha mente.
Os momentos de lucidez que tenho devem ser suficientes, penso. Talvez nesses papéis eu encontre algo que alivie meu sofrimento. E até o de outros. Talvez."
"2782d1a9";"Enriched XP Potion";"Poção de XP Enriquecida"
