Hash;Original;Tradução
"4d6be3b";"Rogue shards from the Spire have been sighted hovering over Bower Lake. Nobody but you can hope to destroy them.";"Fragmentos rebeldes da Torre foram avistados pairando sobre o Lago Bower. Ninguém além de você pode destruí-los."
"1315f450";"How do you think your spouses are going to feel when they find out you're not only married to someone else, but that you're also too cheap to cover it up!";"Como você acha que seus cônjuges vão se sentir quando descobrirem que você não só é casado(a) com outra pessoa, como também é mesquinho(a) demais para esconder isso!"
"211b5348";"Your child is lucky you're a Hero. The world should know never to mess with your family.";"Seu filho tem sorte de você ser um Herói. O mundo deveria saber que nunca se deve mexer com a sua família."
"24138cf7";"You must stay with Reaver through to the end. There's no turning back!";"Você deve ficar com Reaver até o fim. Não há volta!"
"2caf7b34";"It's an uncommon sight, but a troll has entered Bowerstone Market and is causing havoc in the main square.";"É uma visão incomum, mas um troll entrou no Mercado de Bowerstone e está causando estragos na praça principal."
"2f93aba6";"Not content with leaving Charles's corpse to rot in the cave, you have conned his granny into giving you his present. Heartless.";"Não contente em deixar o cadáver de Charles apodrecer na caverna, você enganou a avó dele para que lhe desse o presente. Sem coração."
"2fdc46ca";"Toby won't be conning anyone else with his fake faith swindles. And it's all thanks to you.";"Toby não vai enganar mais ninguém com seus golpes de falsa fé. E tudo isso graças a você."
"30dcc738";"They summoned hollow men and unleashed banshees, but you're leaving Max and Sam to their most dangerous foe yet. Their mother!";"Eles invocaram homens ocos e libertaram banshees, mas você está deixando Max e Sam para o inimigo mais perigoso deles até agora. A mãe deles!"
"32e0c5cc";"Now that Rupert has finally told his father the truth, they can move away to start a new life. The farm has been put up for sale.";"Agora que Rupert finalmente contou a verdade ao pai, eles podem se mudar para começar uma nova vida. A fazenda foi colocada à venda."
"34dd64a1";"Barnum has finally learned how to make sound business decisions. Thanks to your investment, Westcliff has completely changed.";"Barnum finalmente aprendeu a tomar decisões de negócios sensatas. Graças ao seu investimento, Westcliff mudou completamente."
"34ec96b8";"You hunted down every gargoyle in Albion for this?! There must be something else in this cave...";"Você caçou todas as gárgulas de Albion para isso?! Deve haver algo mais nesta caverna..."
"35f02a58";"You have defeated Dash's bandit crew. The bridge in Rookridge can now be rebuilt, which will allow you to return to Bowerstone.";"Você derrotou o bando de bandidos de Dash. A ponte em Rookridge agora pode ser reconstruída, o que permitirá que você retorne a Bowerstone."
"366b5256";"A troll has been spotted in the fields of Wraithmarsh. The desolate region is usually left to fend for itself, but trolls can sometimes end up in Bloodstone, so it will need to be dealt with before that happens.";"Um troll foi avistado nos campos de Wraithmarsh. A região desolada geralmente é deixada à própria sorte, mas trolls às vezes acabam em Bloodstone, então será preciso lidar com ela antes que isso aconteça."
"36cf2a98";"You can't leave without completing the ritual.";"Você não pode ir embora sem completar o ritual."
"3a0b81ac";"You aided the course of true (if slightly unorthodox) love, and the happy couple has eloped. Looks like the mansion is up for sale now!";"Você ajudou o curso do amor verdadeiro (ainda que um pouco incomum), e o casal feliz fugiu para se casar. Parece que a mansão está à venda agora!"
"3d6bb4d0";"You have avenged your sister's death and ended Lucien's plans. Your destiny has been fulfilled. Thanks to your choice in the Spire, your best friend has been returned to this world. He will never leave you again.";"Você vingou a morte de sua irmã e frustrou os planos de Lucien. Seu destino foi cumprido. Graças à sua escolha na Torre, seu melhor amigo retornou a este mundo. Ele nunca mais o deixará."
"40713f39";"You have avenged your sister's death and ended Lucien's plans. Your destiny has been fulfilled. Thanks to your unselfish choice in the Spire, you have become Albion's truest Hero.";"Você vingou a morte de sua irmã e frustrou os planos de Lucien. Seu destino foi cumprido. Graças à sua escolha altruísta na Torre, você se tornou o verdadeiro Herói de Albion."
"4a5387d6";"Do you enjoy breaking hearts? Destroying lives? If so, well done! You're one nasty piece of work.";"Você gosta de partir corações? Destruir vidas? Se sim, parabéns! Você é uma pessoa desprezível."
"4b773588";"You saved Charles's life and returned him safely to his overbearing grandmother. Perhaps death would have been preferable.";"Você salvou a vida de Charles e o devolveu em segurança para sua avó autoritária. Talvez a morte tivesse sido preferível."
"4bef8b17";"If you leave now, the undead will overrun the whole area!";"Se você sair agora, os mortos-vivos vão invadir toda a área!"
"4c8a8776";"Trolls rarely appear in Oakfield, but one has wandered into the region recently. There's no saying how much damage it could do to the crops. Or the villagers for that matter.";"Trolls raramente aparecem em Oakfield, mas um deles vagou pela região recentemente. Não dá para saber o estrago que ele pode causar nas plantações. Ou nos aldeões, aliás."
"4f725c87";"You got away with it! After all, it's not really your fault you're a bigamist. You probably forgot you were already married. Right? RIGHT?!";"Você se safou! Afinal, não é realmente sua culpa ser bígamo. Você provavelmente se esqueceu de que já era casado. Certo? CERTO?!"
"54bf311b";"The bandit road that leads to Westcliff is home to a troll these days. Traders and Crucible visitors are in danger until someone kills it.";"A estrada de bandidos que leva a Westcliff agora é o lar de um troll. Comerciantes e visitantes do Crisol estão em perigo até que alguém o mate."
