Hash;Original;Tradução
"006c04f";"Find Mrs Spade's sons.";"Encontre os filhos da Sra. Spade."
"006fa58";"Use your dog's tracking skills to find Max and Sam.";"Use as habilidades de rastreamento do seu cão para encontrar Max e Sam."
"eeb309e";"You there. Just the kind of fellow I was hoping to run into.";"Você aí. Exatamente o tipo de pessoa que eu esperava encontrar."
"eeb3b1c";"You there. Just the kind of woman I was hoping to run into.";"Você aí. Exatamente o tipo de mulher que eu esperava encontrar."
"1a4d338c";"Off to find someone even better are you? We'll just be here, having a nice chat.";"Vai procurar alguém ainda melhor? Nós vamos ficar aqui, batendo um papo."
"1b043400";"You little terrors. You better not have caused any trouble.";"Seus pestinhas. É melhor vocês não terem causado nenhum problema."
"1c0159c5";"Honestly, I have half a mind to... Oh, I don't know yet, but you won't like it.";"Sinceramente, estou quase... Ah, ainda não sei, mas você não vai gostar."
"1c0159c6";"A lifetime of worry, I've had because of you two.";"Uma vida inteira de preocupação por causa de vocês dois."
"1c0159c7";"Oh, Mum...";"Oh, mãe..."
"1c05156f";"You're just like your father, always chasing some ridiculous adventure. Have you already forgotten how he died? How that kraken grabbed him by his little legs, twirled him in the air like a baton and swallowed him whole?";"Você é igualzinho ao seu pai, sempre em busca de alguma aventura ridícula. Já se esqueceu de como ele morreu? Como aquele kraken o agarrou pelas perninhas, o girou no ar como um bastão e o engoliu inteiro?"
"1d0516c2";"Ah, thank you for finding these two terrors.";"Ah, obrigado por encontrar esses dois terrores."
"1e022e6d";"They won't tell me what happened. Did they cause any trouble?";"Eles não me contam o que aconteceu. Causaram algum problema?"
"2128f428";"It should be, ah, great, yeah.";"Deveria ser, ah, ótimo, sim."
"222bf563";"I bet you can't wait to start farming this place yourself, eh, lad?";"Aposto que você está ansioso para começar a explorar este lugar, hein, rapaz?"
"232b2be8";"Yeah. That... that was a great week.";"É. Aquela... aquela foi uma ótima semana."
"24295be3";"Remember the time we all went to Bower Lake for a holiday? Your mother loved it there.";"Lembra daquela vez que fomos todos para Bower Lake passar férias? Sua mãe adorou lá."
"25040a2f";"Do try to bring them back in one piece.";"Tente trazê-los de volta inteiros."
"2528d519";"Yes. Of course, Dad.";"Sim. Claro, pai."
"2628f211";"I know it hasn't been the same since your mother died, but... we do all right, don't we?";"Eu sei que não tem sido a mesma coisa desde que sua mãe morreu, mas... a gente se vira, né?"
"2804ac0a";"Good. I just haven't got the energy to pull them out of their ridiculous scrapes anymore. And I certainly have no wish to see this Wraithmarsh place.";"Ótimo. Eu simplesmente não tenho mais energia para tirá-los de suas enrascadas ridículas. E certamente não quero ver esse tal de Wraithmarsh."
"2883adc2";"Great news. Finally my lad has got himself a woman.";"Ótimas notícias! Finalmente meu rapaz arrumou uma namorada."
"2c5cd1b8";"Giles wants you to find Rupert a date from Bowerstone.";"Giles quer que você encontre um encontro para Rupert em Bowerstone."
"2ebbe019";"Ah... Yes, he seems... perfect! Here's a note with my name and address. Tell him to visit me soon.";"Ah... Sim, ele parece... perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"2ebbe01a";"He's seems perfect! Here is a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"2ebbe01b";"He's seems perfect! Here is a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"2ebbe01c";"He seems perfect! Here's a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"2ebbe01d";"He's seems perfect! Here is a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"2ebbe01e";"He seems perfect! Here's a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"2ebbfad3";"He's seems perfect! Here is a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"2f763ac6";"You don't seem too happy about it, son. What's wrong?";"Você não parece muito feliz com isso, filho. O que houve?"
"3076568b";"Yeah. Looks like it.";"É. Parece que sim."
"3178c423";"But why?";"Mas por quê?"
"3278c597";"This. This is wrong. I'm sorry, I can't go through with this. I just can't.";"Isso. Isso está errado. Desculpe, não consigo fazer isso. Simplesmente não consigo."
"37bbee69";"He's seems perfect! Here is a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"37bbee6b";"He's seems perfect! Here is a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
"37bbee6c";"He's seems perfect! Here is a note with my name and address. Tell him to visit me soon.";"Ele parece perfeito! Aqui está um bilhete com meu nome e endereço. Diga a ele para me visitar em breve."
