Hash;Original;Tradução
"2ec05e9";"Whatever are you doing with that grave?!";"O que você está fazendo com esse túmulo?!"
"2ec05ea";"There's a grave robber.";"Tem um ladrão de túmulos."
"2ec05eb";"Graverobber!";"Ladrão de túmulos!"
"2ec05ec";"It's grave robbery!";"É roubo de túmulos!"
"2ec05ed";"Hey! Grave robbery!";"Ei! Roubo de túmulo!"
"2ec05ef";"It's grave robbery!";"É roubo de túmulo!"
"2ef949b";"Someone's robbing a grave!";"Alguém está roubando um túmulo!"
"3568209";"Yay!";"Oba!"
"356820a";"Yay!";"Oba!"
"356820b";"Yay!";"Oba!"
"356820c";"Yay!";"Oba!"
"356820d";"Yay!";"Oba!"
"356820f";"Yay!";"Oba!"
"357f6e8";"Yay!";"Oba!"
"c690fc1";"Someone's been killed!";"Alguém foi morto!"
"c690fc3";"It's a murder!";"É um assassinato!"
"c690fc6";"Murder!";"Assassinato!"
"c690fc7";"There's been a murder!";"Houve um assassinato!"
"c69b103";"Murder! It's murder!";"Assassinato! É um assassinato!"
"da214b1";"It's a murder!";"É um assassinato!"
"da214b2";"It's murder!";"É um assassinato!"
"da214b3";"There's a murderer around!";"Há um assassino à solta!"
"da214b4";"Oh no! Murder!";"Oh não! Assassinato!"
"da214b6";"Murder! Murder!";"Assassinato! Assassinato!"
"da214b7";"There's someone dead!";"Tem alguém morto!"
"da23838";"Someone's dead! Look!";"Alguém está morto! Olhem!"
"12a21c51";"Murder! Murder!";"Assassinato! Assassinato!"
"12a21c52";"Murder! Murder!";"Assassinato! Assassinato!"
"12a21c53";"Murder! Murder!";"Assassinato! Assassinato!"
"12a21c55";"Murder! Murder!";"Assassinato! Assassinato!"
"12a21c56";"That's Murder!";"Isso é assassinato!"
"12a21c57";"Murder! Murder!";"Assassinato! Assassinato!"
"12a695a5";"Murder! Murder!";"Assassinato! Assassinato!"
"13633a2a";"Boo!";"Buuu!"
"13633a2b";"Boo!";"Buuu!"
"13633a2c";"Boo!";"Buuu!"
"13633a2d";"Boo!";"Buuu!"
"13633a2e";"Boo!";"Buuu!"
"13633a2f";"Boo!";"Buuu!"
"1363dc29";"Boo!";"Buuu!"
"13691ac3";"Murder! It's murder!";"Assassinato! É um assassinato!"
"13691ac4";"There's been a murder!";"Houve um assassinato!"
"13691ac5";"It's a murder!";"É um assassinato!"
"13691ac6";"Someone's been killed!";"Alguém foi morto!"
"136d8430";"Murder!";"Assassinato!"
"186341ca";"Boo!";"Bu!"
"186341cb";"Boo!";"Bu!"
"186341cc";"Boo! Boo!";"Bu! Bu!"
"186341cd";"Boo! Boo!";"Bu! Bu!"
"186341ce";"Boo!";"Bu!"
"186341cf";"Boo!";"Bu!"
"18639c2a";"Boo!";"Bu!"
"19c72242";"Wow!";"Uau!"
"19c72243";"Whoa!";"Uau!"
"19c72244";"Wow!";"Uau!"
"19c72245";"Wow!";"Uau!"
"19c72246";"Wow!";"Uau!"
"19c72247";"Wow!";"Uau!"
"19c8df3c";"Wow!";"Uau!"
"24c733f2";"Wow!";"Uau!"
"24c733f3";"Wow!";"Uau!"
"24c733f4";"Wow!";"Uau!"
"24c733f5";"Wow!";"Uau!"
"24c733f6";"Wow!";"Uau!"
"24c733f7";"Wow!";"Uau!"
"24c9f764";"Wow!";"Uau!"
"29aa6fff";"Think you can trespass, do you? Come 'ere!";"Acha que pode invadir, é? Venha cá!"
"29ab942e";"Don't you know trespassing's illegal!";"Você não sabe que invadir é ilegal!"
"2b7f3349";"Somene almost got killed!";"Alguém quase morreu!"
