Hash;Original;Tradução
"5226512";"This friend of yours is not welcome in these parts.";"Esse seu amigo não é bem-vindo por aqui."
"5226513";"Why do you hang around with him? He's an idiot!";"Por que você anda com ele? Ele é um idiota!"
"5226514";"Perhaps your friend should stick to his own neighbourhood.";"Talvez seu amigo devesse ficar no próprio bairro."
"5226515";"Who's he and what is he doing here?";"Quem é ele e o que está fazendo aqui?"
"5226516";"Couldn't your friend stay where he belongs?";"Seu amigo não poderia ficar onde pertence?"
"5226517";"Why is your associate polluting our land with his presence?";"Por que seu conhecido está poluindo nossa terra com a presença dele?"
"52280b9";"Why must you bring such disreputable men into our lives?";"Por que você traz homens tão desonestos para nossas vidas?"
"cb0b551";"Your friend looks like she's made of pure evil!";"Sua amiga parece ser a personificação do mal!"
"cb0b553";"This friend of yours has no heart. She is just evil through and through.";"Essa sua amiga não tem coração. Ela é pura maldade."
"cb0b554";"I've never felt such an evil presence as your friend there.";"Nunca senti uma presença tão maligna quanto a da sua amiga."
"cb0b555";"Your companion reeks of vile immorality.";"Sua companheira exala imoralidade vil."
"cb0b556";"There is an aura of supreme wickedness around your friend. She is a vicious one.";"Há uma aura de perversidade suprema ao redor de sua amiga. Ela é uma pessoa cruel."
"cb0b557";"Where did you find such a nasty person as her?";"Onde você encontrou uma pessoa tão detestável quanto ela?"
"cb2aa4b";"She's a wrong 'un that friend of yours. I can tell.";"Essa sua amiga é uma pessoa ruim. Eu sei disso."
"e28618d";"Ha ha! He's funny! Did you find him in clown school or something!";"Ha ha! Ele é engraçado! Você o encontrou na escola de palhaços ou algo assim!"
"10227642";"Who's he? Looks like a real hanger-on.";"Quem é ele? Parece um verdadeiro aproveitador."
"10227643";"What's wrong with your friend? Couldn't find any glory on his own?";"Qual o problema com seu amigo? Não conseguiu encontrar a glória por conta própria?"
"10227644";"No offense, but I can't stand your friend.";"Sem ofensas, mas não suporto seu amigo."
"10227645";"This a friend of yours? He visiting from the Land of Idiots?";"Esse é um amigo seu? Ele está visitando a região dos idiotas?"
"10227646";"That friend of yours is a real waste of space. I mean, look at him.";"Esse seu amigo é um verdadeiro inútil. Quer dizer, olhe para ele."
"10227647";"Your companion has not the least ounce of decency in him.";"Seu companheiro não tem um pingo de decência."
"1026e692";"I do not care for the company you keep these days. I am referring to him.";"Não gosto das companhias que você anda frequentando. Estou me referindo a ele."
"12366256";"Just leave me alone!";"Me deixe em paz!"
"1270f4f1";"Do that again and I'll report you!";"Faça isso de novo e eu vou denunciar você!"
"1270f4f2";"If you want to be reported, give it another go!";"Se você quer ser denunciado, tente de novo!"
"1270f4f3";"You'll be reported if you try that again!";"Você será denunciado se tentar isso de novo!"
