Hash;Original;Tradução
"3e63b60";"I think I'll take a nap now. Couple of hundred years should do it.";"Acho que vou tirar um cochilo agora. Uns duzentos anos devem bastar."
"4e63cd3";"World should be a more interesting place by then, I hope.";"Espero que o mundo seja um lugar mais interessante até lá."
"6e64039";"Oh, yes, very amusing. I've definitely seen it all now.";"Ah, sim, muito divertido. Com certeza já vi de tudo."
"6ecb1a1";"Do you wish to open the portcullis?";"Deseja abrir a grade?"
"8a74020";"Come. Come closer. I hold treasures unworthy of most mortals.";"Venha. Chegue mais perto. Possuo tesouros indignos da maioria dos mortais."
"8edb11b";"A tender proposal of marriage between two sweethearts is all that I ask. Such a sight would surely unlock my pain.";"Um pedido de casamento entre dois apaixonados é tudo o que peço. Tal cena certamente aliviaria minha dor."
"aa94104";"You're wondering what the price is... All I ask is that you enjoy yourself. Yes, that's it. Lose yourself to all that is pleasurable and I will be yours to open.";"Você está se perguntando qual é o preço... Tudo o que peço é que você se divirta. Sim, é isso mesmo. Entregue-se a todo o prazer e eu serei seu para abrir."
"ba852f1";"You would like to come inside and see, wouldn't you? Oh yes, I can sense your greed... Good, good.";"Você gostaria de entrar e ver, não é? Ah sim, consigo sentir sua ganância... Ótimo, ótimo."
"da6aab8";"Eat all you want, drink all you want, sleep all you want, give in to the needs of the flesh. You deserve it. You are better than all others. Yes. Yes.";"Coma tudo o que quiser, beba tudo o que quiser, durma tudo o que quiser, ceda aos desejos da carne. Você merece. Você é melhor do que todos os outros. Sim. Sim."
"db6b220";"Do I offend your ears?";"Estou incomodando seus ouvidos?"
"f445b21";"Don't waste my time with your pointless human tricks. It's the dog I want to see.";"Não perca meu tempo com seus truques humanos inúteis. É o cachorro que eu quero ver."
"103a9258";"Believe me I've seen every idiocy ever performed by man or woman. Make the hairy beast do something instead.";"Acredite, eu já vi todas as idiotices já feitas por homens ou mulheres. Faça a besta peluda fazer alguma coisa."
"10b2c188";"You'll be back. You'd be a fool to resist.";"Você vai voltar. Seria uma tolice resistir."
"113ca32d";"I have no wish to spend another moment of my existence watching you. What about the little fellow?";"Não quero passar mais um segundo da minha existência te observando. E o pequeno?"
"140ea90d";"No point talking to me. I can see you have all the verbal wit of a pumice stone.";"Não adianta falar comigo. Vejo que você tem a mesma sagacidade verbal que uma pedra-pomes."
"158ca287";"Please, a glimpse of true love and my treasure would be yours. Come on! It's only a kiss!";"Por favor, um vislumbre do verdadeiro amor e meu tesouro será seu. Vamos! É só um beijo!"
"16170829";"You must have a dear one you wish to propose to? Please, share the moment with me!";"Você deve ter alguém especial a quem deseja pedir em casamento? Por favor, compartilhe esse momento comigo!"
"16c7b255";"Garth's research has made his old home a dangerous place to be. Do you dare sleep in the tower?";"A pesquisa de Garth tornou sua antiga casa um lugar perigoso. Você se atreve a dormir na torre?"
"170cd7c7";"That animal of yours looks much more entertaining. So come on, show me what he can do.";"Esse seu animal parece muito mais divertido. Então vamos lá, mostre-me o que ele pode fazer."
"196d8d42";"Greetings, Exalted One.";"Saudações, Exaltado."
"1a69b470";"You are to report to Fairfax immediately to attend your coronation.";"Você deve se apresentar imediatamente em Fairfax para participar da sua coroação."
"25da5ca8";"Welcome Hero, or should I say Queen of Albion!";"Bem-vindo, Herói, ou melhor, Rainha de Albion!"
"25dc4bba";"Welcome Hero, or should I say King of Albion!";"Bem-vindo, Herói, ou melhor, Rei de Albion!"
"260e87b1";"Why?! Why must love encounter such torment?! Are we condemned to loneliness and dejection?";"Por quê?! Por que o amor precisa passar por tanto tormento?! Estamos condenados à solidão e ao desânimo?"
"26493485";"I was man. Long time ago. Ate meat. Lots of meat.";"Eu era homem. Há muito tempo. Comia carne. Muita carne."
"270a5b74";"No, I cannot look! We are fated to suffer alone for all eternity!";"Não, não posso olhar! Estamos fadados a sofrer sozinhos por toda a eternidade!"
"27479b27";"Then was Demon Door. No more meat. Only hungry.";"Depois veio a Porta Demoníaca. Sem mais carne. Só fome."
"27c792a6";"This invaluable gem is a piece of Chesty's very own heart, broken when you chose not to remain his super best friend.";"Esta joia inestimável é um pedaço do próprio coração do Chesty, partido quando você escolheu não continuar sendo seu melhor amigo."
"290a5e5a";"Oh woe, wooooe! I cannot bear such rejection!";"Oh, ai, ai! Não suporto tanta rejeição!"
"29477ba0";"You! Please! Meat! So hungry!";"Você! Por favor! Carne! Estou com tanta fome!"
"2c4966ae";"Please, feed meat now!";"Por favor, alimente-a com carne agora!"
"34d7f2ba";"Soon, soon you will have reached the enlightenment only the truly corrupt can attain.";"Em breve, em breve você alcançará a iluminação que apenas os verdadeiramente corruptos podem atingir."
"35d5c571";"Yes! Yes! Don't hold back now! Gluttony is good! Lust is good! Sloth is good! Pride is good!";"Sim! Sim! Não se contenha agora! Gula é bom! Luxúria é boa! ​​Preguiça é boa! ​​Orgulho é bom!"
"364af265";"Buried Note";"Bilhete escondido"
"38d7d0a1";"There are still further depths of pleasure for you to explore.";"Ainda há mais prazer para você explorar."
"39d64179";"Feed every hunger and every vice you have ever entertained...";"Satisfaça toda a sua fome e todo o seu vício..."
"3ad7d387";"There is more pleasure to be found in a bed than sleep. Oh, so much more.";"Há mais prazer em uma cama do que dormir. Oh, muito mais."
"3bd67352";"See? See how much the world has to offer if only you give in to it. There is no temptation too debased, no sin too great.";"Viu? Veja o quanto o mundo tem a oferecer se você se entregar a ele. Não há tentação tão depravada, nenhum pecado tão grande."
