Hash;Original;Tradução
"00bfc12";"Oi! What you playing at?!";"Ei! O que você está aprontando?!"
"023abbc";"Rescue the slaves being held at the camp in %1.";"Resgate os escravos presos no acampamento em %1."
"0eb2941";"Oohh! Mercy for a poor man's soul!";"Oh! Misericórdia para a alma de um pobre homem!"
"508bf78";"Not right now, thanks.";"Agora não, obrigado."
"694edaf";"Civilian Displacement Order Details";"Detalhes da Ordem de Deslocamento de Civis"
"7098a33";"Well, that's all very nice, but I don't think so.";"Bem, tudo isso é muito bonito, mas acho que não."
"80ae01a";"I'm a bit busy at the moment.";"Estou um pouco ocupado no momento."
"88b739c";"That's just horrible.";"Isso é simplesmente horrível."
"9173f40";"Ow! Why did you do that?!";"Ai! Por que você fez isso?!"
"98a85a0";"I don't hate much. But I hate that.";"Eu não odeio muita coisa. Mas eu odeio isso."
"b8eed14";"Ugh! You're as bad as those beetles!";"Argh! Você é tão ruim quanto aqueles besouros!"
"d0fd1f3";"I would rather bury myself and not be discovered for a million years than watch you.";"Prefiro me enterrar e não ser descoberto por um milhão de anos do que ficar te observando."
"e102610";"Is it any wonder nobody cares about ancient eras? The world is full of imbeciles.";"Não é de admirar que ninguém se importe com as eras antigas? O mundo está cheio de imbecis."
"e186126";"Delightful is too weak a word. Extraordilightful!";"Delicioso é pouco. Extraordinário!"
"efeaec9";"Ow! You little sod!";"Ai! Seu safado!"
"f11293c";"That is thoroughly unlikeable.";"Isso é totalmente detestável."
"f1878a8";"If only we could charge people to see this. We'd be rich!";"Se ao menos pudéssemos cobrar para as pessoas verem isso. Seríamos ricos!"
"104f7870";"Assassination Contract";"Contrato de Assassinato"
"111a4561";"Why, this is the zenith of marvellousness.";"Ora, isto é o ápice da maravilha."
"11a3bed5";"I'll be here if you have a change of heart.";"Estarei aqui se você mudar de ideia."
"131516a1";"Hmph!";"Hmph!"
"140fdcf6";"Perhaps you could stop wasting my time and serve the cause of archeaology instead.";"Talvez você pudesse parar de me fazer perder tempo e servir à causa da arqueologia."
"14196636";"You certainly know how to divert the soul.";"Você certamente sabe como distrair a alma."
"1518d92d";"I'm both amused and edificated.";"Estou ao mesmo tempo divertido e instruído."
"16ea08c1";"Civilian Displacement Details";"Detalhes do Deslocamento de Civis"
"182149b1";"Name:";"Nome:"
"1875feff";"I'm losing patience with you.";"Estou perdendo a paciência com você."
"19da8917";"[Laughs] Oh, my sides.";"[Laughs] Ah, meu lado!"
"1a1c5205";"Not right now.";"Agora não."
