Hash;Original;Tradução
"79ad0ab";"The more powerful an expression, the harder it is to extend it. But if you're willing to risk ridicule, a well-executed expression can really change people's opinion of you.";"Quanto mais poderosa uma expressão, mais difícil é estendê-la. Mas se você estiver disposto a arriscar o ridículo, uma expressão bem executada pode realmente mudar a opinião das pessoas sobre você."
"8557a1b";"The more famous you become, the more people you can get to follow you at once. Build that entourage!";"Quanto mais famoso você se torna, mais pessoas você consegue que te sigam ao mesmo tempo. Monte sua comitiva!"
"98f0f67";"A merchant who's scared of you is a merchant who will give you better prices. Of course, you could always make them like you instead.";"Um comerciante que tem medo de você é um comerciante que lhe oferecerá melhores preços. Claro, você sempre pode fazer com que eles gostem de você."
"da214b0";"Redecorating your home with nicer furniture can improve the bonuses you get from sleeping there.";"Redecorar sua casa com móveis melhores pode aumentar os bônus que você recebe ao dormir nela."
"e6d69f0";"The Hat, Headband, Moustache game was an on-the-road activity first popularized by travelling traders.";"O jogo do Chapéu, Faixa e Bigode era uma atividade itinerante popularizada por comerciantes viajantes."
"ef1293a";"The better you get at a job, the more gold you'll make!";"Quanto melhor você for em um trabalho, mais ouro você ganhará!"
"132f8828";"Failing expressions is a good way to make people find you ridiculous, but this can sometimes lead to some unexpected consequences.";"Fazer expressões faciais ruins é uma boa maneira de fazer as pessoas te acharem ridículo, mas isso às vezes pode levar a consequências inesperadas."
"1412822f";"When Mad-dog "The Strangler" McGraw retired from the world of professional Crucibling, he left his greatest weapon as a reward for anyone who could beat his Crucible record. No one has come close to breaking it.";"Quando Mad-dog "O Estrangulador" McGraw se aposentou do mundo do Crisol profissional, ele deixou sua maior arma como recompensa para quem conseguisse bater seu recorde no Crisol. Ninguém chegou perto de quebrá-lo."
"15d58081";"To most residents of Albion, the old Hero ways of Strength, Skill and Will have become nothing but a simple tale.";"Para a maioria dos habitantes de Albion, os antigos caminhos dos Heróis, com Força, Habilidade e Vontade, tornaram-se apenas uma simples história."
"1b6253e4";"Green orbs give you general experience. You can use this in combination with Will, Strength or Skill experience to learn new abilities.";"Orbes verdes concedem experiência geral. Você pode usar isso em combinação com experiência de Vontade, Força ou Habilidade para aprender novas habilidades."
"1fe0b5d0";"If the game looks too dark, try adjusting the gamma settings in the Options screen.";"Se o jogo estiver muito escuro, tente ajustar as configurações de gama na tela de Opções."
"21e72ae9";"Earn more experience by killing enemies at critical times, building up combos and dispatching them in a stylish manner.";"Ganhe mais experiência eliminando inimigos em momentos críticos, criando combos e despachando-os com estilo."
"2457b73f";"You can use the Regions section of your map to travel to previously found locations.";"Você pode usar a seção Regiões do seu mapa para viajar para locais já encontrados."
"2fc5ce51";"If you need more information about playing the game, consult the Help section of your Logbook.";"Se precisar de mais informações sobre como jogar, consulte a seção Ajuda do seu Diário de Bordo."
"2ff567c0";"Around the time Jack of Blades was felled by a great Hero, there were rumours that the Guildmaster was murdered by this same Hero. They say the words "Your health is low" were carved on the Guildmaster's forehead.";"Por volta da época em que Jack of Blades foi derrotado por um grande Herói, surgiram rumores de que o Mestre da Guilda havia sido assassinado por esse mesmo Herói. Dizem que as palavras "Sua saúde está baixa" foram gravadas na testa do Mestre da Guilda."
"39f755e1";"Centuries ago, the people of Albion revolted against the Heroes' Guild. The Guild had become home to self-important, useless Heroes and was destroyed by a mob along with all its occupants.";"Séculos atrás, o povo de Albion se revoltou contra a Guilda dos Heróis. A Guilda havia se tornado o lar de Heróis presunçosos e inúteis, e foi destruída por uma multidão junto com todos os seus ocupantes."
"3c27e0d0";"The people of modern Albion are not used to seeing real magic, so casting Will spells in the middle of a town centre is likely to alarm most of them.";"Os habitantes da Albion moderna não estão acostumados a ver magia de verdade, então lançar feitiços de Vontade no centro da cidade provavelmente alarmará a maioria deles."
"3fd2ac6d";"Extending the Fart expression can have very dangerous results if you mess it up. Not least for your trousers.";"Prolongar a expressão "Peido" pode ter resultados muito perigosos se você errar. Principalmente pelas suas calças."
"4473ae11";"The mysterious gargoyles scattered throughout Albion enjoy insulting passersby. Some say if one could find every last one of them and silence them forever, it would lead to a fantastic discovery.";"As misteriosas gárgulas espalhadas por Albion adoram insultar os transeuntes. Alguns dizem que se alguém conseguisse encontrar todas elas e silenciá-las para sempre, isso levaria a uma descoberta fantástica."
"4733ea3d";"The more expensive food and drink items not only heal, they often offer other surprising benefits.";"Os alimentos e bebidas mais caros não apenas curam, como também costumam oferecer outros benefícios surpreendentes."
"48492604";"Each Expression Statue requires a different expression to solve it. Take care not to use the wrong expression, though.";"Cada Estátua de Expressão requer uma expressão diferente para ser resolvida. Mas cuidado para não usar a expressão errada."
"50b11557";"Your map can show you where to find the latest quests and jobs. It also warns you when you're running out of time to reach events.";"Seu mapa pode mostrar onde encontrar as missões e trabalhos mais recentes. Ele também avisa quando o tempo está acabando para chegar aos eventos."
"5ed8ce9a";"Upgrading the furniture in your house increases the overall value of the house, and keeps your family happy. New furniture can be bought in the Furniture stores in Bowerstone Market and Bloodstone.";"Melhorar os móveis da sua casa aumenta o valor geral dela e mantém sua família feliz. Móveis novos podem ser comprados nas lojas de móveis do Mercado de Bowerstone e de Bloodstone."
"616f8988";"Hollow men's brittle bones and dusty rags are especially susceptible to fire damage. Try lobbing a fireball or two their way.";"Os ossos frágeis e os trapos empoeirados dos homens ocos são especialmente suscetíveis a danos causados ​​pelo fogo. Tente lançar uma ou duas bolas de fogo na direção deles."
"625b79c9";"You can use your map to change where the glowing trail leads you.";"Você pode usar seu mapa para mudar o caminho que o rastro brilhante te leva."
"6a9acfc1";"If you get injured, buy some potions or food to heal yourself, or find a bed to sleep in!";"Se você se machucar, compre poções ou comida para se curar, ou encontre uma cama para dormir!"
"73762e70";"The more upper-class your potential fiancée is, the nicer the engagement ring they will expect.";"Quanto mais refinada for sua potencial noiva, mais elegante será o anel de noivado que ela esperará."
"74f83e84";"There's a series of self help books available in the Bowerstone Bookstore that will teach you new and entertaining expressions.";"Há uma série de livros de autoajuda disponíveis na Livraria Bowerstone que lhe ensinarão expressões novas e divertidas."
"7b0308b1";"When you get knocked out by enemies, all the uncollected experience in the area is lost. So if you think things are looking dire, be sure to soak up all available experience with the Right Trigger.";"Quando você é nocauteado por inimigos, toda a experiência não coletada na área é perdida. Então, se você acha que as coisas estão difíceis, certifique-se de absorver toda a experiência disponível com o Gatilho Direito."
"804ebae9";"Press the Right Bumper to see your Expression Wheel, where you can see and select any of your current expressions.";"Pressione o botão direito do controle para ver a roda de expressões, onde você pode ver e selecionar qualquer uma das suas expressões atuais."
"8198c144";"If you're waiting for a better sale or job to start, rest for seven days at a local pub to skip ahead. But be careful... lazing around all day can be a corrupting influence.";"Se você está esperando uma promoção ou emprego melhor, descanse por sete dias em um bar local para adiantar o processo. Mas cuidado... ficar ocioso o dia todo pode ser uma influência corruptora."
"85e9a1c0";"Ever since Albert the Luminous found the first Golden Oak and planted it, the harvests in Oakfield have been bountiful.";"Desde que Albert, o Luminoso, encontrou o primeiro Carvalho Dourado e o plantou, as colheitas em Oakfield têm sido abundantes."
"87151227";"If you choose to concentrate on developing your Will abilities, you'll find that your low level spells become more powerful and that your high level spells will charge faster.";"Se você optar por se concentrar no desenvolvimento de suas habilidades de Vontade, descobrirá que suas magias de nível baixo se tornarão mais poderosas e que suas magias de nível alto carregarão mais rápido."
"8923b82d";"Keeping your family happy can improve the bonuses you get from sleeping in your house. They'll also give you gifts from time to time!";"Manter sua família feliz pode melhorar os bônus que você recebe por dormir em casa. Eles também te darão presentes de vez em quando!"
"8d06a954";"The Regions section of your map lists how many treasures you've found in that region, plus all the dungeons that are connected to that region.";"A seção Regiões do seu mapa lista quantos tesouros você encontrou naquela região, além de todas as masmorras conectadas a ela."
"90e27879";"Precious gems make fantastic gifts, but they can also be sold at jeweller's stalls for great sums of gold.";"Pedras preciosas são ótimos presentes, mas também podem ser vendidas em bancas de joalheiros por grandes somas de ouro."
"95907f2b";"According to folklore, hobbes were once children led astray into dark realms by whispering shadows.";"Segundo o folclore, os hobbes eram crianças levadas para reinos sombrios por sombras sussurrantes."
"9dae2b48";"Legendary weapons are sometimes not as powerful as comparable high level weapons, but they always have interesting augments.";"Armas lendárias às vezes não são tão poderosas quanto armas de nível alto comparáveis, mas sempre têm aprimoramentos interessantes."
"a14a3e77";"If you harass a villager with rude or scary expressions enough, they may report you to the town guards for anti-social behaviour.";"Se você importunar um aldeão com expressões rudes ou assustadoras o suficiente, ele poderá denunciá-lo aos guardas da cidade por comportamento antissocial."
"a20c21c7";"The Extort expression can let you threaten villagers for money, but it only works if they find you sufficiently terrifying. Be sure to extort them while away from any witnesses.";"A expressão Extorquir permite ameaçar os aldeões para obter dinheiro, mas só funciona se eles o acharem suficientemente assustador. Certifique-se de extorqui-los longe de quaisquer testemunhas."
"a7a8f658";"Stealing can be a good way to make a living, but there are also honest ways, such as the various jobs available from time to time, and a good head for trading. And if you're after a happy medium, why not gamble your way to riches?";"Roubar pode ser uma boa maneira de ganhar a vida, mas também existem maneiras honestas, como os diversos trabalhos disponíveis de tempos em tempos e uma boa vocação para negociações. E se você busca um meio-termo, por que não apostar para enriquecer?"
"ab484b48";"Despite having been dead for over fifty years, Captain Dread still inspires terror in all seafaring folk. There was never a more vicious pirate, and some say his cruel ghost haunts the ocean still.";"Apesar de estar morto há mais de cinquenta anos, o Capitão Dread ainda inspira terror em todos os marinheiros. Nunca houve um pirata mais cruel, e alguns dizem que seu fantasma ainda assombra o oceano."
"adcf381d";"Expand your real estate holdings enough and you can be crowned King or Queen. Don't expect any royal powers, though, aside from the awe and respect of all your subjects.";"Expanda suas propriedades imobiliárias o suficiente e você poderá ser coroado Rei ou Rainha. Mas não espere nenhum poder real, além da admiração e do respeito de todos os seus súditos."
"ae3c8c7c";"Lady Grey, once mayor of Bowerstone, and of whom many insalubrious stories are told, was convicted as a witch and sentenced to death by dismemberment. Her remains are scattered around Albion.";"Lady Grey, outrora prefeita de Bowerstone, e sobre quem muitas histórias infames são contadas, foi condenada como bruxa e sentenciada à morte por esquartejamento. Seus restos mortais estão espalhados por Albion."
"b08b9061";"When expressions are presented on the D-pad, the one on the right is always nice, and the one on the left is always nasty.";"Quando as expressões aparecem no direcional, a da direita é sempre gentil e a da esquerda é sempre desagradável."
"b4a486aa";"The more you eat to heal yourself, the fatter you become. Watch your waistline if you want to stay attractive to villagers.";"Quanto mais você come para se curar, mais gordo você fica. Cuidado com a cintura se quiser continuar atraente para os aldeões."
"baa0053a";"As another Hero's Henchman, you can't expect to be the centre of attention. You're a guest in their world, after all.";"Como um capanga de outro Herói, você não pode esperar ser o centro das atenções. Afinal, você é um convidado no mundo deles."
"bf5a8560";"As a Temple of Light monk might say: "Giving freely of yourself is the path to righteousness". In other words, use the Gift expression to earn lots of good morality points.";"Como um monge do Templo da Luz diria: : "Doar-se livremente é o caminho para a retidão. Em outras palavras, use a expressão Dádiva para ganhar muitos pontos de moralidade."
"c8b0bb93";"Merchants will give better prices to customers they like.";"Os comerciantes oferecem melhores preços aos clientes de quem gostam."
"cbf27d28";"Visit your family regularly to keep them happy. You can also raise their allowance by interacting with the house sign.";"Visite sua família regularmente para mantê-la feliz. Você também pode aumentar a mesada deles interagindo com a placa da casa."
"dbbd5720";"Castle Fairfax was built by Albion's greatest alchemist, Leo Head, before being acquired by the Fairfax family. It was constructed on the spot where Bowerstone Manor once stood, burned to the ground by Albion's Witchspotters.";"O Castelo Fairfax foi construído pelo maior alquimista de Albion, Leo Head, antes de ser adquirido pela família Fairfax. Foi construído no local onde outrora se erguia a Mansão Bowerstone, incendiada pelos Caçadores de Bruxas de Albion."
"dc8c7131";"Game masters can be found in most pubs throughout the world, and also walking the highways and byways of Albion. Many offer different variants of Albion's most popular gambling games.";"Mestres de jogos podem ser encontrados na maioria dos pubs do mundo, e também caminhando pelas estradas e caminhos de Albion. Muitos oferecem diferentes variantes dos jogos de azar mais populares de Albion."
"e4ba5590";"If you want to break into someone's house, light wooden doors can usually be smashed open, but the noise may attract unwanted attention.";"Se você quiser invadir a casa de alguém, portas de madeira clara geralmente podem ser arrombadas, mas o barulho pode atrair atenção indesejada."
"ecb382bb";"There are 50 silver keys and 50 gargoyles to find in the world. Coincidence, or evidence of a cosmic force at work?";"Existem 50 chaves de prata e 50 gárgulas para encontrar no mundo. Coincidência ou evidência de uma força cósmica em ação?"
"eccffac3";"Giles, the current owner of Brightwood Farm, was once a notorious town guard, feared by all criminals.";"Giles, o atual proprietário da Fazenda Brightwood, foi outrora um guarda notório, temido por todos os criminosos."
"f703118a";"You can do more damage and earn higher bonuses if you learn the Strength ability "Brutal Styles: Flourish".";"Você pode causar mais dano e obter bônus maiores se aprender a habilidade de Força "Estilos Brutais: Florescer"."
"f743b641";"Hollow men are nothing but empty shells possessed by malicious spirits. You can see these wisps diving into the ground to reanimate the bones of the long dead.";"Homens ocos não passam de cascas vazias possuídas por espíritos malignos. É possível ver esses espíritos mergulhando no chão para reanimar os ossos dos mortos há muito tempo."
"f901c2a8";"You can increase your renown by showing off trophies, having statues made of you or paying the Bard to sing tales of your greatness.";"Você pode aumentar sua fama exibindo troféus, mandando fazer estátuas suas ou pagando ao Bardo para cantar histórias sobre sua grandeza."
"ffc5d7a7";"Materialistic creatures that they are, the people of Albion can often be swayed by a timely gift, though not everyone likes the same things. As with expressions, too much of the same thing will soon become boring.";"Criaturas materialistas que são, o povo de Albion pode ser influenciado por um presente oportuno, embora nem todos gostem das mesmas coisas. Assim como acontece com as expressões, o excesso da mesma coisa logo se torna entediante."
