Hash;Original;Tradução
"11a7987";"Chosen One";"Escolhido"
"28b5884";"Fearmonger";"Assustadora"
"3176598";"Lionheart";"Lionheart"
"96207b4";"Causes your health to restore on its own very quickly for a limited period of time. This beverage consists mainly of an infusion of ground coffee beans.";"Restaura sua saúde rapidamente por um período limitado. Esta bebida consiste principalmente em uma infusão de grãos de café moídos."
"df85f77";"Guild Seal";"Selo da Guilda"
"fc8566e";"Highwayman Trousers";"Calças de Salteador de Estradas"
"17138963";"Gunslinger";"Pistoleiro"
"178183be";"A detailed account of Lucien's plans, bound in leather.";"Um relato detalhado dos planos de Lucien, encadernado em couro."
"17e7a1f8";"Lucien's Diary (Page 11)";"Diário de Lucien (Página 11)"
"185a32c5";"Your dog is your best friend. You don't just treat him well, you care about his education too. This title is free once you've taught your dog enough tricks.";"Seu cachorro é seu melhor amigo. Você não apenas o trata bem, como também se preocupa com a educação dele. Este título é gratuito assim que você ensinar truques suficientes ao seu cachorro."
"1fb735bd";"The spirit of Hal, the great warrior from another dimension, is alive within you.";"O espírito de Hal, o grande guerreiro de outra dimensão, vive dentro de você."
"30e38fd8";"You were born with a gun in your hand. You are fast on the draw, and your accuracy is deadly.";"Você nasceu com uma arma na mão. Você é rápido no gatilho e sua precisão é mortal."
"3156aa53";"(Use this in your inventory to listen to the echo of Lucien's voice.)
I am no longer alone in my research. Garth is from the Western reaches of Samarkand and his work far outstrips my own. He shows a remarkable facility with Old Kingdom artifacts.
Today I have watched in wonder as lights, delicately spun like cobwebs, shimmered in solid stone. Remarkable.";"(Use este item no seu inventário para ouvir o eco da voz de Lucien.)
Não estou mais sozinho em minha pesquisa. Garth é das regiões ocidentais de Samarcanda e seu trabalho supera em muito o meu. Ele demonstra uma notável facilidade com artefatos do Antigo Reino.
Hoje observei maravilhado luzes, delicadamente tecidas como teias de aranha, brilharem em pedra sólida. Notável."
"31e46060";"Lucien's Diary (Page 1)";"Diário de Lucien (Página 1)"
