Hash;Original;Tradução
"3b31510";"Bowerstone Tavern is having a huge sale for the next few days. Drink up.";"A Taberna Bowerstone está com uma super promoção pelos próximos dias. Beba tudo."
"8db4510";"Produce Stall Sale";"Venda na Barraca de Produtos Agrícolas"
"b64cec9";"Oakfield Clothing Stall is currently suffering from a shortage due to increased security concerns focusing on the town bridge. If the bridge is still standing, you could make a fortune selling clothes.";"A barraca de roupas Oakfield está sofrendo com a falta de estoque devido ao aumento das preocupações com a segurança na ponte da cidade. Se a ponte ainda estivesse de pé, você poderia fazer uma fortuna vendendo roupas."
"bd24953";"Bowerstone Tavern is having a sale for the next few days. You'd be crazy NOT to get drunk here!";"A Taverna Bowerstone está com promoção pelos próximos dias. Você seria louco de NÃO se embriagar aqui!"
"de219c5";"Clothing Stall Big Sale";"Grande Liquidação na Barraca de Roupas"
"11422b48";"Clothing Stall Massive Sale";"Liquidação Gigantesca de Roupas"
"12065cc4";"Tavern Big Sale";"Grande Liquidação na Taberna"
"120a3681";"Gypsy Camp Tattooist is having a small sale for the next few days. Come get that design you've always wanted drilled into your body.";"O Gypsy Camp Tattooist está com uma pequena promoção nos próximos dias. Venha fazer aquela tatuagem que você sempre quis."
"1406602a";"Oakfield Clothing Stall is currently suffering from a large shortage due to the population's having realised that, despite the claims of some naturists, being naked all the time is not entirely pleasant. Please come here and sell clothes.";"A barraca de roupas Oakfield está sofrendo com uma grande escassez, pois a população percebeu que, apesar do que alguns naturistas afirmam, ficar nu o tempo todo não é exatamente agradável. Por favor, venham aqui e vendam roupas."
"15757f14";"Bowerstone Male Tailors is currently suffering from a small shortage due to an unfortunate incident with a can of paint and several chickens. Sell your excess men's clothing for a little extra coin.";"A Alfaiataria Masculina Bowerstone está com uma pequena escassez devido a um incidente infeliz envolvendo uma lata de tinta e algumas galinhas. Venda suas roupas masculinas excedentes para ganhar um dinheirinho extra."
"1726d1e4";"Bowerstone Tattooist is currently suffering from a small shortage due to supply problems. Prices are up, but they'll pay extra for any items you can offer.";"O tatuador de Bowerstone está com uma pequena escassez devido a problemas de fornecimento. Os preços subiram, mas eles pagarão um extra por qualquer item que você possa oferecer."
"18d4d27f";"Oakfield Produce Stall is currently suffering from a shortage due to new produce tariffs. An entrepreneur bringing produce into Oakfield on the sly would find it quite easy to unload.";"A barraca de produtos agrícolas de Oakfield está sofrendo com a escassez devido às novas tarifas sobre os produtos. Um empreendedor que trouxesse produtos para Oakfield clandestinamente acharia muito fácil se livrar deles."
"1ca2720d";"Oakfield Produce Stall is currently suffering from a small shortage due to most of the stock having been sat on at an impromptu growers' meeting. Savvy vendors of fruit and veg would do well selling here.";"A barraca de produtos Oakfield está sofrendo com uma pequena escassez devido à maior parte do estoque ter ficado retida em uma reunião improvisada de produtores. Vendedores experientes de frutas e verduras se dariam bem vendendo aqui."
"1dd64ca6";"Gypsy Camp Tattooist is having a sale for the next few days. This is a great opportunity to have a needle jammed into your arm, chest, face, wherever!";"O Gypsy Camp Tattooist está com uma promoção pelos próximos dias. Esta é uma ótima oportunidade para ter uma agulha enfiada no seu braço, peito, rosto, onde você quiser!"
"1ed17296";"Oakfield Produce Stall is having a huge sale for the next few days. Eat healthy at bargain prices!";"A barraca de produtos Oakfield está com uma super promoção nos próximos dias. Coma saudável a preços imperdíveis!"
"223d7e07";"Produce Stall Big Sale";"Grande Liquidação na Barraca de Produtos Frescos"
"22b9ccdc";"Stone Cutter Shortage";"Escassez de Cortadores de Pedra"
"2313a442";"Oakfield Weapon Stall is having a small sale for the next few days. The gold you save might be what the bandits are coming for when you slay them with our fine wares!";"A Loja de Armas de Oakfield está com uma pequena promoção pelos próximos dias. O ouro que você economizar pode ser o que os bandidos estão procurando quando você os derrotar com nossos excelentes produtos!"
"246d8b1e";"Tattooist Big Shortage";"Grande Escassez de Tatuadores"
"2662c51c";"Bowerstone Tattooist is having a huge sale for the next few days. Ink is cheap!";"O estúdio de tatuagem Bowerstone está com uma super promoção nos próximos dias. Tatuagens baratas!"
"283b2e32";"Stone Cutter Huge Shortage";"Pedreiro - Grande Escassez"
"30a2f86b";"Bowerstone Tattooist is having a sale for the next few days. Adorn your body with attractive designs at affordable prices.";"O Bowerstone Tattooist está com uma promoção pelos próximos dias. Adorne seu corpo com desenhos atraentes a preços acessíveis."
"38c6e6cf";"Trader Shortage";"Escassez de Comerciantes"
"3ae46e48";"Produce Stall Shortage";"Escassez de produtos agrícolas"
"3b3d0e57";"Tattooist Big Shortage";"Grande Escassez de Tatuadores"
"3b72a604";"Trader Huge Shortage";"Grande Escassez do Comerciante"
"3ef958c0";"Trader Big Shortage";"Grande Escassez do Comerciante"
"3f42e000";"Male Tailors Shortage";"Escassez de alfaiates masculinos"
"40fd40b2";"Oakfield Weapon Stall is currently suffering from a large shortage due to the locals taking the Temple of Light's pacifist teachings to heart. An enterprising person could make some coin here re-arming the populace.";"A Loja de Armas de Oakfield está sofrendo com uma grande escassez devido aos moradores locais terem levado a sério os ensinamentos pacifistas do Templo da Luz. Uma pessoa empreendedora poderia ganhar dinheiro aqui rearmando a população."
"4646d526";"Stone Cutter Big Sale";"Grande Liquidação de Cortadores de Pedra"
"4f96e9c9";"Oakfield Clothing Stall is having a sale for the next few days. If you're cold, we can help.";"A Barraca de Roupas Oakfield está com uma promoção nos próximos dias. Se você estiver com frio, podemos ajudar."
"50f2d92a";"Tattooist Sale";"Promoção do Tatuador"
"54bae2a9";"Stone Cutter Massive Sale";"Grande Liquidação de Cortadores de Pedra"
"5676f78a";"Tattooist Massive Sale";"Grande Liquidação de Tatuadores"
"58d54dcc";"Gypsy Camp Stone Cutter is having a small sale for the next few days. Don't wait any longer -- make that weapon more deadly today!";"O Cortador de Pedras do Acampamento Cigano está com uma pequena promoção pelos próximos dias. Não espere mais — torne essa arma ainda mais letal hoje mesmo!"
"59fad0ba";"Gypsy Camp Tattooist is currently suffering from a small shortage due to supply problems. Prices are up, but they'll pay extra for any items you can offer.";"O Gypsy Camp Tattooist está enfrentando uma pequena escassez devido a problemas de fornecimento. Os preços subiram, mas eles pagarão a mais por qualquer item que você possa oferecer."
"5f9483b5";"Tattooist Big Sale";"Grande Promoção do Tatuador"
"62f6b092";"Trader Sale";"Liquidação de Comerciante"
"68842022";"Weapon Stall Massive Sale";"Liquidação de Armas"
"6b0a13fd";"Bowerstone Tattooist is currently suffering from a large shortage due to supply problems. Prices are up, but they'll pay massive amounts for any items you can offer.";"O tatuador Bowerstone está sofrendo com uma grande escassez devido a problemas de fornecimento. Os preços subiram, mas eles pagarão quantias enormes por qualquer item que você possa oferecer."
"6b9d6403";"Trader Big Sale";"Grande Venda do Comerciante"
"6cd86a50";"Tattooist Huge Shortage";"Grande Escassez de Tatuadores"
"70ecac99";"Weapon Stall Big Sale";"Grande Liquidação de Armas"
"76b96260";"Clothing Stall Sale";"Venda de roupas na barraca"
