Hash;Original;Tradução
"300db61";"Our house is perfectly alright. But maybe we should move soon.";"Nossa casa está perfeitamente bem. Mas talvez devêssemos nos mudar em breve."
"300db62";"Our house is perfectly alright. But maybe we should move soon.";"Nossa casa está perfeitamente bem. Mas talvez devêssemos nos mudar em breve."
"300db66";"Our house is perfectly alright. But maybe we should move soon.";"Nossa casa está perfeitamente bem. Mas talvez devêssemos nos mudar em breve."
"300db67";"I'm pretty pleased with our house. For now, anyway.";"Estou bem satisfeita com a nossa casa. Pelo menos por enquanto."
"3034760";"Our house is okay I guess. We could move though.";"Nossa casa é razoável, eu acho. Mas poderíamos nos mudar."
"c00e94b";"Our house is perfectly alright. But maybe we should move soon.";"Nossa casa está perfeitamente bem. Mas talvez devêssemos nos mudar em breve."
"c00e94c";"I'm pretty pleased with our house. For now anyway.";"Estou bastante satisfeito com nossa casa. Pelo menos por enquanto."
"c00e94d";"Our house is perfectly alright. But maybe we should move soon.";"Nossa casa está perfeitamente bem. Mas talvez devêssemos nos mudar em breve."
"c00e94f";"I have no complaints about a house. Do you, dear?";"Não tenho queixas da casa. E você, querida?"
"c07e1fe";"Our house is okay I guess. We could move though.";"Nossa casa é razoável, eu acho. Mas poderíamos nos mudar."
"fd0abce";"Who did the decoration in our place? Hobbes? Pull your finger out and do something about it, luv.";"Quem fez a decoração aqui? Hobbes? Se mexa e faça alguma coisa a respeito, querido(a)."
"fd0abcf";"Look at the quality of our furnishings some time, dear! Surely we can do better.";"Dê uma olhada na qualidade dos nossos móveis, querido(a)! Com certeza podemos fazer melhor."
"fd29625";"I'm embarrassed to have anyone round to our house. Our furniture is a disgrace, for starters.";"Tenho vergonha de receber visitas em casa. Para começar, nossos móveis são uma vergonha."
"2cc6dc81";"How long are we going to live in our hovel?";"Por quanto tempo vamos morar nessa pocilga?"
"2cc6dc82";"Couldn't we move somewhere nicer?";"Não poderíamos nos mudar para um lugar melhor?"
"2cc6dc84";"Our house is horrible. I'm tired of living in it.";"Nossa casa é horrível. Estou cansado de morar nela."
"2cc6dc85";"I didn't realise marrying you would mean living in such squalor.";"Eu não imaginava que casar com você significaria viver em tamanha miséria."
"2cc6dc86";"I don't know how you can expect me to live in a decaying hovel.";"Não sei como você espera que eu viva num casebre caindo aos pedaços."
"2cc6dc87";"I'm sick of living in a dump.";"Estou farto de viver num lixão."
"2cc818ac";"You know, we could move somewhere nicer.";"Sabe, poderíamos nos mudar para um lugar melhor."
"2e084f41";"We've got walls, floors... what more could we want?";"Temos paredes, pisos... o que mais poderíamos querer?"
"2e084f42";"Ahh, yes, our house will do nicely.";"Ah, sim, nossa casa servirá perfeitamente."
"2e084f43";"Our home is certainly more than adequate, don't you agree, dear?";"Nossa casa é mais do que adequada, não acha, querida?"
"2e084f44";"It is no castle, but I think we can be very happy in our house.";"Não é um castelo, mas acho que podemos ser muito felizes em nossa casa."
"2e084f46";"I'm quite happy living where we do. What about you, dear?";"Estou muito feliz morando onde moramos. E você, querida?"
"2e084f47";"I'm glad we found our house.";"Que bom que encontramos nossa casa."
"2e0a0a86";"Our home isn't a bad place to raise a family.";"Nossa casa não é um lugar ruim para criar uma família."
"33085761";"Ahh, yes, our house is just right.";"Ah, sim, nossa casa é perfeita."
"33085762";"We've got walls, floors... what more could we want?";"Temos paredes, pisos... o que mais poderíamos querer?"
"33085763";"We have made a rather lovely home together, haven't we dear?";"Construímos um lar muito agradável juntos, não é mesmo, querida?"
"33085765";"Our house really is quite nice, isn't it, darling?";"Nossa casa é bem bonita, não é, querida?"
"33085766";"Our place really is quite comfortable.";"Nosso lugar é bem confortável."
"33085767";"We've made a nice home for ourselves.";"Fizemos um lar aconchegante para nós."
"33097c48";"I like living in our house, don't you?";"Eu gosto de morar na nossa casa, e você?"
"35c6eae9";"I don't know how you can expect me to live in this decaying hovel we call home.";"Não sei como você espera que eu viva nesta pocilga decadente que chamamos de lar."
"35c6eaea";"I didn't realise marrying you would mean living in such squalor.";"Eu não imaginava que casar com você significaria viver em tamanha miséria."
"35c6eaeb";"Can't we move some place else?";"Não podemos nos mudar para outro lugar?"
"35c6eaec";"We have to stay in our dump of a house do we?";"Temos que ficar nessa casa caindo aos pedaços, não é?"
"35c6eaed";"Isn't it time we moved up the property ladder?";"Não está na hora de subirmos na escala imobiliária?"
"35c6eaef";"There must be a better place for us to live.";"Deve haver um lugar melhor para morarmos."
"35c7ea40";"I'm sick of our house. Can't we afford something better?";"Estou farto da nossa casa. Não podemos comprar algo melhor?"
"39856dca";"We must have one of the nicest houses in town.";"Devemos ter uma das casas mais bonitas da cidade."
"39856dcb";"I really like our house. I never get tired of it.";"Eu gosto muito da nossa casa. Nunca me canso disso."
"39856dcc";"We must have one of the nicest houses in town.";"Devemos ter uma das casas mais bonitas da cidade."
"39856dcd";"It's a great house we live in, don't you think?";"É uma ótima casa onde moramos, não acha?"
"39859470";"You can't beat our house.";"Nossa casa é imbatível."
"3e8575ea";"We have one of the nicest houses in town, don't you think?";"Temos uma das casas mais bonitas da cidade, não acha?"
"3e8575eb";"We must have one of the nicest houses in town.";"Devemos ter uma das casas mais bonitas da cidade."
"3e8575ec";"I really like our house. I never get tired of it.";"Eu gosto muito da nossa casa. Nunca me canso dela."
"3e8575ed";"We must have one of the nicest houses in town.";"Devemos ter uma das casas mais bonitas da cidade."
"3e863657";"Our house is a real peach of a place.";"Nossa casa é um verdadeiro paraíso."
"763e26a1";"I'm really getting fed up of our house!";"Estou realmente farto da nossa casa!"
"763e26a3";"I'm so sick of our stupid house.";"Estou tão cansado da nossa casa idiota."
"763e26a6";"Our house just isn't good enough.";"Nossa casa simplesmente não é boa o suficiente."
"763e26a7";"I'm really getting fed up of our house!";"Estou realmente farto da nossa casa!"
"763f2e81";"Our house is a bit of a pit, you know.";"Nossa casa é um verdadeiro buraco, sabe?"
"7d3e31a3";"That house of ours is pretty rubbish.";"Aquela nossa casa é bem ruim."
"7d3e31a4";"I'm really getting fed up with our house.";"Estou realmente farto da nossa casa."
"7d3e31a5";"I'm sick of our stupid house.";"Estou farto da nossa casa idiota."
"7d3e31a6";"I'm really getting fed up of our house!";"Estou realmente farto da nossa casa!"
"7d3e5fc0";"I'm really getting fed up of our house!";"Estou realmente farto da nossa casa!"
"8bde20b1";"I've got used to our furniture now, but don't you think we should change it?";"Eu já me acostumei com nossos móveis, mas você não acha que deveríamos trocá-los?"
"8bde20b2";"There's nothing wrong with our furniture, but they have much nicer stuff down the road...";"Nossos móveis são ótimos, mas tem coisa muito melhor lá na rua..."
"8bde20b4";"Our funiture is quite nice. Have you seen the latest models though, dear?";"Nossos móveis são muito bonitos. Já viu os modelos mais recentes, querida?"
"8bde20b5";"The decor in our house is more than adequate, but it is hardly cutting-edge.";"A decoração da nossa casa é mais do que adequada, mas está longe de ser de vanguarda."
"8bde20b6";"I am presently satisfied with our furnishings. But should we really settle? I don't know.";"Estou satisfeito com a nossa mobília. Mas será que devemos mesmo nos contentar com isso? Não sei."
"8bde20b7";"Furniture's ok, but I've seen better.";"Os móveis são bons, mas já vi melhores."
"8be28a8d";"Yeah, I guess the stuff in the house looks fine. For now.";"É, acho que as coisas da casa estão boas. Por enquanto."
"94de2e99";"I am presently satisfied with our furnishings. But, I don't know, should we really settle?";"Estou satisfeito com nossa mobília. Mas, não sei, será que deveríamos mesmo nos estabelecer?"
"94de2e9a";"The decor in our house is more than adequate, but it's hardly cutting-edge, is it?";"A decoração da nossa casa é mais do que adequada, mas não é exatamente de vanguarda, né?"
"94de2e9b";"Yeah, I guess the stuff in our house looks fine. For now.";"É, acho que as coisas da nossa casa estão boas. Por enquanto."
"94de2e9c";"Furniture's ok, but I've seen better.";"Os móveis são ok, mas já vi melhores."
"94de2e9d";"There's nothing wrong with our furniture, but they have much nicer stuff down the road...";"Não tem nada de errado com os nossos móveis, mas tem coisa muito melhor mais adiante..."
"94de2e9f";"You know, I've gotten used to our furniture now, but do you think we should change it?";"Sabe, eu já me acostumei com nossos móveis, mas você acha que deveríamos trocá-los?"
"94e05640";"Our funiture is quite nice. Have you seen the latest models though, dear?";"Nossos móveis são bem bonitos. Você já viu os modelos mais recentes, querida?"
