Hash;Original;Tradução
"25b13ea";"You did this!";"Você fez isso!"
"25b13eb";"You did this!";"Você fez isso!"
"25b13ec";"It was you!";"Foi você!"
"25b13ed";"How could you?!";"Como você pôde?!"
"25b13ee";"You did it!";"Você conseguiu!"
"25b13ef";"How could you?!";"Como você pôde?!"
"25cc278";"You! It was you!";"Você! Foi você!"
"5422e42";"Delivery!";"Entrega!"
"5422e43";"I have a delivery!";"Tenho uma entrega!"
"5422e44";"Delivery!";"Entrega!"
"5422e45";"I have yer delivery!";"Sua entrega chegou!"
"544f770";"Delivery!";"Entrega!"
"75b1b8a";"It was you!";"Foi você!"
"75b1b8b";"You! You did it!";"Você! Você conseguiu!"
"75b1b8c";"It was you!";"Foi você!"
"75b1b8d";"You! You did it!";"Você! Você conseguiu!"
"75b1b8e";"It was you!";"Foi você!"
"75b1b8f";"How could you?!";"Como você pôde?!"
"75bd8b3";"You did it!";"Você conseguiu!"
"3bab0869";"Guess what? Your bun's in my oven!";"Adivinha? Seu pãozinho está no meu forno!"
"3bab086a";"Yeah, you knocked me up good and proper.";"É, você me engravidou direitinho."
"3bab086b";"I have news. I am expecting your child!";"Tenho novidades! Estou grávida do seu filho!"
"3bab086d";"Dear, I am expecting!";"Querido, estou grávida!"
"3bab086e";"You won't believe this... I'm pregnant!";"Você não vai acreditar... Estou grávida!"
"3bab086f";"Oh, I think we might be having a baby!";"Ah, acho que vamos ter um bebê!"
"3bab1962";"Well, you've done it. I'm pregnant.";"Bem, você conseguiu! Estou grávida."
"46ab1999";"We're gonna have a little troll of our own? Am I a stud or what?!";"Vamos ter um pequeno troll para nós? Sou um garanhão ou não?!"
"46ab199a";"A baby? How did that happen?";"Um bebê? Como isso aconteceu?"
"46ab199b";"You're with child?! This is wonderful!";"Você está grávida?! Que maravilha!"
"46ab199c";"I'm going to be a father? I'm speechless!";"Vou ser pai? Estou sem palavras!"
"46ab199e";"Wow, I'm going to be a dad!";"Uau, vou ser pai!"
"46ab199f";"Wow! Look at the size of you! We're gonna be parents!";"Uau! Olha o seu tamanho! Vamos ser pais!"
"46ae3a46";"I'm going to be a father? That's marvellous!";"Vou ser pai? Que incrível!"
"51957f41";"I have your delivery!";"Recebi sua entrega!"
"51957f42";"I have a delivery here!";"Tenho uma entrega aqui!"
"51957f46";"Delivery for you!";"Entrega para você!"
"51957f47";"Delivery here.";"Entrega aqui."
"51965332";"Got a delivery.";"Recebi uma entrega."
"535fe660";"Do you wish to get married?";"Deseja se casar?"
"56804c84";"I'm sure we'll make great parents.";"Tenho certeza de que seremos ótimos pais."
"56804c85";"Finally, a little one I can teach all my stuff to.";"Finalmente, um filhinho para quem posso ensinar tudo o que sei."
"56804c86";"I got to get drunk to celebrate!";"Preciso beber para comemorar!"
"56804c87";"I have planted my seed in most wonderful ground. I am sure the fruit will be no less wonderful.";"Plantei minha semente em solo maravilhoso. Tenho certeza de que a fruta não será menos maravilhosa."
"5681a128";"Oh, my loins! I thank thee!";"Oh, meus lombos! Eu te agradeço!"
"616f8989";"What you say we have a quick roll in the hay, huh?";"Que tal darmos uma rapidinha, hein?"
"616f898a";"Why don't we find someplace where we can have a little fun?";"Por que não encontramos um lugar onde possamos nos divertir um pouco?"
"616f898b";"I was reading a rather racy novel last night. Maybe we could perform chapter 16?";"Eu estava lendo um romance bem picante ontem à noite. Talvez pudéssemos encenar o capítulo 16?"
"616f898d";"I know this is rather forward, but how would you like to experience pure pleasure?";"Eu sei que isso é um pouco ousado, mas que tal experimentar puro prazer?"
"616f898e";"Why don't we find somewhere private and... find out more about each other?";"Que tal encontrarmos um lugar reservado e... nos conhecermos melhor?"
"616f898f";"Let's find somewhere intimate. I have something to show you.";"Vamos encontrar um lugar íntimo. Tenho algo para te mostrar."
"61701d79";"How about we find a quiet place and have some fun?";"Que tal encontrarmos um lugar tranquilo e nos divertirmos?"
"655676c1";"Go on, but leave me alone.";"Vá em frente, mas me deixe em paz."
"655676c2";"Won't do it again, will ya.";"Não farei isso de novo, ok?"
"655676c3";"I accept, but do not let it happen again.";"Eu aceito, mas não deixe que aconteça novamente."
"655676c6";"Ok but don't do it again though.";"Ok, mas não faça isso de novo."
"655676c7";"Oh, alright then, but next time I'm calling the guards.";"Ah, tudo bem então, mas da próxima vez vou chamar os guardas."
"65568750";"As long as it's the last time.";"Contanto que seja a última vez."
"69b2dc7a";"You know what? I'm in the mood for love.";"Sabe de uma coisa? Estou com vontade de amar."
"69b2dc7b";"What do you say we go to bed early today? You know what I mean...";"Que tal irmos dormir cedo hoje? Você sabe o que eu quero dizer..."
"69b2dc7c";"I had some seafood earlier... You know what that means, don't you? Let's find a bed.";"Comi frutos do mar mais cedo... Você sabe o que isso significa, não sabe? Vamos encontrar uma cama."
"69b2dc7d";"You know what'd be nice? A nice roll in the hay. We got any hay?";"Sabe o que seria bom? Uma boa transa. Temos feno?"
"69b2dc7e";"I can't help it, yer irresistible. Let's have some fun!";"Não consigo resistir, você é irresistível. Vamos nos divertir!"
"69b2dc7f";"Let us engage in the most natural act in the world. The act of procreation.";"Vamos nos entregar ao ato mais natural do mundo. O ato da procriação."
"69b7d2c0";"I am feeling a touch amorous...";"Estou me sentindo um pouco amoroso..."
"6c6f9b39";"Huh, come on, what you say we... you know...";"Hum, vamos lá, que tal se a gente... sabe..."
"6c6f9b3a";"I've never wanted you so badly!";"Eu nunca te desejei tanto!"
"6c6f9b3b";"I am aching to perform the beautiful dance of love. What do you say?";"Estou louco para dançar a linda dança do amor. O que você acha?"
"6c6f9b3c";"I have read that spending time in bed together is beneficial for the health.";"Li que passar um tempo juntos na cama faz bem para a saúde."
"6c6f9b3e";"What do you say we take this relationship to the next level, eh?";"Que tal levarmos esse relacionamento para o próximo nível?"
"6c6f9b3f";"Do the words "roll in the hay" mean anything to you? Huh huh.";"As palavras "rolar no feno" significam alguma coisa para você? Hein?"
"6c712326";"I think we're ready for our love to get... physical. Don't you?";"Acho que estamos prontos para o nosso amor ficar... físico. Não acha?"
"6d26c243";"You! It was you!";"Você! Foi você!"
"6d26c244";"We all know it was you!";"Todos sabemos que foi você!"
"6d26c245";"You're the culprit!";"Você é o culpado!"
"6d26c247";"I know it was you!";"Eu sei que foi você!"
"6d278f3d";"You did it!";"Você fez isso!"
"6eb2e41a";"You know what? I'm in the mood for some love.";"Sabe de uma coisa? Estou com vontade de um pouco de amor."
"6eb2e41b";"I had some seafood earlier... You know what that means, don't you? Let's find a bed.";"Comi frutos do mar mais cedo... Você sabe o que isso significa, não sabe? Vamos encontrar uma cama."
"6eb2e41c";"What do you say we go to bed early today? You know what I mean...";"Que tal irmos para a cama cedo hoje? Você sabe o que eu quero dizer..."
"6eb2e41d";"I can't help it, you're irresistible. Let's have some fun!";"Não consigo evitar, você é irresistível. Vamos nos divertir!"
"6eb2e41e";"You know what'd be nice? A nice roll in the hay. We got any hay?";"Sabe o que seria bom? Uma boa transa. Temos feno?"
"6eb2e41f";"I am feeling a touch amorous...";"Estou me sentindo um pouco amoroso..."
"6eb66cf6";"Let us engage in the most natural act in the world. The act of procreation.";"Vamos nos entregar ao ato mais natural do mundo. O ato da procriação."
"7426cd49";"What you did was wrong!";"O que você fez foi errado!"
"7426cd4a";"You're the culprit!";"Você é o culpado!"
"7426cd4e";"How could you do that?";"Como você pôde fazer isso?"
"7426cd4f";"You did it!";"Você conseguiu!"
"7426f9ab";"You should be ashamed.";"Você deveria ter vergonha."
"798861d1";"I have never known such wickedness. What I am supposed to do now?!";"Nunca conheci tamanha maldade. O que devo fazer agora?!"
"798861d2";"Surely you jest?! i have never been so insulted!";"Você está brincando?! Nunca me senti tão insultado!"
"798861d3";"What? After all that?";"O quê? Depois de tudo isso?"
"798861d4";"You nasty, hobbin tease!";"Seu pervertido, seu provocador!"
"798861d5";"What?! I won't forget this!";"O quê?! Eu não vou esquecer isso!"
"798861d7";"Huh?! That's just cruel. I was all ready and everything!";"Hã?! Isso é cruel. Eu estava pronto e tudo mais!"
"79887c00";"I can't believe it! You're nothing but a tease!";"Não acredito! Você não passa de um provocador!"
"7d995542";"We should find a house, darling. Then we can get married.";"Precisamos encontrar uma casa, querida. Aí poderemos nos casar."
"7d995543";"If only we had a house we could get married.";"Se ao menos tivéssemos uma casa, poderíamos nos casar."
"7d995544";"We'd better find some place to live if we're gonna get hitched.";"É melhor encontrarmos um lugar para morar se quisermos nos casar."
"7d995545";"You know what'd be great? Somewhere to live!";"Sabe o que seria ótimo? Um lugar para morar!"
"7d995546";"You know, if we had a house we might even be able to get married...";"Sabe, se tivéssemos uma casa, talvez até conseguíssemos nos casar..."
"7d995547";"We cannot possibly marry until we have a suitable home.";"Não podemos nos casar até termos uma casa adequada."
"7d99d297";"Perhaps if we had a good home we could be married.";"Talvez se tivéssemos um bom lar, poderíamos nos casar."
"801428ba";"What?! How dare you string me along like that?";"O quê?! Como você ousa me enrolar desse jeito?"
"801428bb";"Oh well, at least I won't have to fake it again.";"Ah, bem, pelo menos não vou precisar fingir de novo."
"801428bc";"Humph! I was only taking pity on you anyway.";"Hum! Eu só estava com pena de você mesmo."
"801428bd";"What? Your loss, you hobbin idiot.";"O quê? Perda sua, seu idiota!"
"801428be";"Uff! I was gonna fake it anyways.";"Ufa! Eu ia fingir de qualquer jeito."
"801428bf";"How dare you do this to me! Humph!";"Como você ousa fazer isso comigo! Hum!"
"80193240";"I should have you whipped!";"Eu devia te mandar chicotear!"
"80886cd9";"Oh well, at least I won't have to fake it again.";"​​Bom, pelo menos não vou precisar fingir de novo."
"80886cda";"Humph! I was only taking pity on you anyway.";"Hum! Eu só estava com pena de você mesmo."
"80886cdc";"What?! How dare you string me along like that?";"O quê?! Como você ousa me enrolar desse jeito?"
"80886cdd";"How dare you do this to me! Humph!";"Como você ousa fazer isso comigo! Hum!"
"80886cde";"Oh, your gender are alike!";"Ah, vocês são do mesmo gênero!"
"80886cdf";"What?! Your loss!";"O quê?! Problema seu!"
"8088abaa";"Pfff! I was gonna fake it anyways.";"Pfff! Eu ia fingir de qualquer jeito."
"8514305a";"I can't believe it! You're nothing but a tease!";"Não acredito! Você não passa de uma provocadora!"
"8514305b";"What?! I guess I'll find a cold lake to jump in then.";"O quê?! Acho que vou encontrar um lago gelado para pular então."
"8514305c";"Huh?! That's just cruel. I was all ready and everything!";"Hã?! Isso é cruel. Eu estava toda preparada e tudo!"
"8514305d";"What?! After all that! You witch! You hussy!";"O quê?! Depois de tudo isso! Sua bruxa! Sua vadia!"
"8514305e";"You nasty, hobbin tease!";"Sua perversa, sua provocadora!"
"8514305f";"I have never known such wickedness. What I am supposed to do now?!";"Nunca conheci tamanha maldade. O que eu devo fazer agora?!"
"8514f441";"Surely you jest?! Time to put ice cubes down my trousers again...";"Você só pode estar brincando?! Hora de colocar cubos de gelo nas minhas calças de novo..."
"87742c68";"Hmm, ok, I forgive you.";"Hmm, ok, eu te perdoo."
"889966f2";"Let's pick out a house, dear. You do want a wedding, don't you?";"Vamos escolher uma casa, querida. Você quer se casar, não quer?"
"889966f3";"We're going to need a roof over our heads before we tie the knot.";"Precisaremos de um teto sobre nossas cabeças antes de nos casarmos."
"889966f4";"We should really find a house to live in if we're going to get married.";"Precisamos mesmo encontrar uma casa para morar se vamos nos casar."
"889966f5";"Let's find a house, shall we? Then it's wedding bells!";"Vamos encontrar uma casa, que tal? Aí sim, poderemos nos casar!"
"889966f6";"What you say we find somewhere to live? We could get hitched then.";"Que tal encontrarmos um lugar para morar? Poderíamos nos casar então."
"889966f7";"We shall require a house if we are to marry.";"Precisaremos de uma casa para nos casarmos."
"889b2ec0";"Shall we find a beautiful home and set a wedding date?";"Que tal encontrarmos uma bela casa e marcarmos a data do casamento?"
"8c73b921";"I suppose I can forgive you this time.";"Acho que posso te perdoar desta vez."
"95f6e1eb";"Come on, baby!";"Vamos lá, querida!"
"95f6e1ec";"Hey-- you fancy a trip to paradise?";"Ei, que tal uma viagem ao paraíso?"
"95f6e1ed";"I want to get close to you. Really close.";"Quero ficar perto de você. Bem perto."
"95f6e1ee";"I want you! I want you now!";"Eu te quero! Eu te quero agora!"
"95f76b29";"Let's go and have some fun.";"Vamos nos divertir!"
"9ef6f039";"I want you! I want you now!";"Eu quero você! Eu quero você agora!"
"9ef6f03b";"I want to get close to you. Really close.";"Eu quero chegar perto de você. Bem perto."
"9ef6f03e";"Let's go and have some fun.";"Vamos nos divertir!"
"9ef6f03f";"You fancy a trip to paradise?";"Que tal uma viagem ao paraíso?"
"9ef77068";"Come on, baby!";"Vamos lá, meu bem!"
"b06dbee1";"Oh, ok, just this once then.";"Ah, ok, só desta vez então."
"b06dbee3";"Hmm, ok, you're forgiven.";"Hum, ok, você está perdoado."
